ファイル名,ASch082B_Zndmbdcdabco_C2H4_Exp191004.DAT
測定日,19/10/04
測定時間,21:52:16
コメント１,[Zn2(dm-bdc)2(dabco)]
コメント２,single gas
コメント３,
コメント４,20191004
シリアルナンバー,VC-05
バージョン,0.95
サンプル質量,0.7021,[g]
装置本体基準容積,31.313,[cm^3]
サンプル部死容積,32.138,[cm^3]
平衡時間,600,[SEC]
吸着質名称,C2H4
空気恒温槽温度,25.000,[℃]
吸着温度,298.15,[K]
飽和蒸気圧,8.1300E+05,[kPa]
吸着断面積,0.1620,[nm^2]
壁面吸着補正ファイル名,
壁面吸着補正値１,
壁面吸着補正値２,
吸着データ数,72
脱着データ数,0

No,pi/kPa,pe/kPa,pe2/kPa,p0/kPa,p/p0,Va/cm^3(STP) g^-1
ADS
1,1.0122,0.2394,0.2401,6098.0,3.9256E-05,0.2526
2,48.838,10.985,10.989,6098.0,1.8014E-03,10.728
3,60.162,22.768,22.780,6098.0,3.7336E-03,20.622
4,70.172,35.314,35.329,6098.0,5.7910E-03,29.228
5,84.571,49.721,49.745,6098.0,8.1537E-03,37.097
6,98.176,65.353,65.381,6098.0,1.0717E-02,43.690
7,114.03,82.347,82.385,6098.0,1.3504E-02,49.297
8,133.43,101.44,101.49,6098.0,1.6635E-02,54.189
9,185.44,135.04,135.11,6098.0,2.2145E-02,60.536
10,218.14,170.16,170.25,6098.0,2.7904E-02,65.323
11,248.11,204.27,204.37,6098.0,3.3497E-02,68.876
12,277.53,237.04,237.17,6098.0,3.8872E-02,71.632
13,335.30,281.74,281.89,6098.0,4.6201E-02,74.789
14,351.76,313.95,314.12,6098.0,5.1484E-02,76.701
15,377.82,343.59,343.78,6098.0,5.6344E-02,78.225
16,405.29,372.44,372.64,6098.0,6.1076E-02,79.509
17,434.24,401.49,401.70,6098.0,6.5839E-02,80.673
18,460.51,429.34,429.57,6098.0,7.0406E-02,81.683
19,484.64,455.52,455.79,6098.0,7.4700E-02,82.547
20,511.81,482.26,482.54,6098.0,7.9085E-02,83.346
21,535.84,507.77,508.05,6098.0,8.3268E-02,84.049
22,558.04,531.74,532.04,6098.0,8.7199E-02,84.665
23,579.95,554.78,555.10,6098.0,9.0978E-02,85.197
24,599.86,576.28,576.60,6098.0,9.4503E-02,85.724
25,679.69,626.14,626.50,6098.0,0.1027,86.724
26,731.30,676.94,677.34,6098.0,0.1110,87.665
27,782.41,728.01,728.42,6098.0,0.1194,88.493
28,834.73,779.76,780.22,6098.0,0.1279,89.272
29,884.97,830.86,831.35,6098.0,0.1363,89.948
30,935.82,881.91,882.41,6098.0,0.1446,90.552
31,988.59,933.85,934.38,6098.0,0.1531,91.130
32,1041.3,986.18,986.74,6098.0,0.1617,91.677
33,1091.2,1037.4,1038.0,6098.0,0.1701,92.161
34,1142.5,1088.6,1089.3,6098.0,0.1785,92.606
35,1192.7,1139.4,1140.1,6098.0,0.1869,92.999
36,1249.1,1193.0,1193.7,6098.0,0.1956,93.384
37,1299.4,1245.0,1245.7,6098.0,0.2042,93.737
38,1350.9,1296.8,1297.5,6098.0,0.2127,94.053
39,1400.2,1347.3,1348.1,6098.0,0.2209,94.378
40,1452.8,1398.9,1399.7,6098.0,0.2294,94.667
41,1505.2,1450.9,1451.7,6098.0,0.2379,94.925
42,1557.5,1503.0,1503.9,6098.0,0.2465,95.208
43,1607.4,1554.1,1555.0,6098.0,0.2548,95.458
44,1657.8,1604.8,1605.7,6098.0,0.2632,95.633
45,1710.6,1656.5,1657.5,6098.0,0.2717,95.873
46,1759.8,1707.0,1708.0,6098.0,0.2799,96.068
47,1811.7,1758.4,1759.4,6098.0,0.2883,96.173
48,1860.6,1808.3,1809.3,6098.0,0.2965,96.381
49,1915.3,1860.7,1861.7,6098.0,0.3051,96.512
50,1967.2,1912.9,1913.9,6098.0,0.3137,96.636
51,2017.8,1964.3,1965.4,6098.0,0.3221,96.784
52,2067.4,2014.8,2015.9,6098.0,0.3304,96.841
53,2117.1,2064.9,2066.0,6098.0,0.3386,96.893
54,2169.8,2116.2,2117.3,6098.0,0.3470,97.038
55,2219.3,2166.6,2167.8,6098.0,0.3553,97.152
56,2268.0,2216.2,2217.3,6098.0,0.3634,97.337
57,2318.2,2266.1,2267.3,6098.0,0.3716,97.413
58,2369.7,2316.8,2318.0,6098.0,0.3799,97.565
59,2419.2,2366.9,2368.1,6098.0,0.3881,97.651
60,2470.8,2417.8,2419.1,6098.0,0.3965,97.672
61,2521.1,2468.3,2469.6,6098.0,0.4048,97.747
62,2569.2,2517.7,2519.0,6098.0,0.4129,97.727
63,2619.6,2567.6,2568.8,6098.0,0.4211,97.783
64,2668.8,2617.2,2618.5,6098.0,0.4292,97.804
65,2718.0,2666.5,2667.8,6098.0,0.4373,97.884
66,2769.5,2716.9,2718.3,6098.0,0.4455,97.884
67,2816.5,2765.7,2767.1,6098.0,0.4535,97.787
68,2868.0,2815.8,2817.2,6098.0,0.4618,97.671
69,2917.4,2865.6,2867.0,6098.0,0.4699,97.618
70,2966.7,2915.0,2916.4,6098.0,0.4780,97.734
71,3015.2,2964.2,2965.5,6098.0,0.4861,97.569
72,3066.0,3014.0,3015.5,6098.0,0.4943,97.626
DES
