ファイル名,ASch082C_Zntmbdcdabco_C2H6_Exp190819.DAT
測定日,2019-08-19
測定時間,22:55:32
コメント１,[Zn2(tm-bdc)2(dabco)]
コメント２,single gas
コメント３,
コメント４,20190819
シリアルナンバー,VC-05
バージョン,0.95
サンプル質量,0.817,[g]
装置本体基準容積,31.313,[cm^3]
サンプル部死容積,32.03,[cm^3]
平衡時間,600,[SEC]
吸着質名称,C2H6
空気恒温槽温度,25,[℃]
吸着温度,298.15,[K]
飽和蒸気圧,5.24E+05,[kPa]
吸着断面積,0.162,[nm^2]
壁面吸着補正ファイル名,
壁面吸着補正値１,
壁面吸着補正値２,
吸着データ数,85
脱着データ数,0

No,pi/kPa,pe/kPa,pe2/kPa,p0/kPa,p/p0,Va/cm^3(STP) g^-1
ADS
1,1.042,4.05E-02,4.07E-02,3928,1.03E-05,0.3878
2,48.884,1.7808,1.7844,3928,4.53E-04,16.157
3,50.581,3.816,3.8165,3928,9.71E-04,31.706
4,52.845,6.1866,6.1896,3928,1.58E-03,47.107
5,53.943,9.0845,9.089,3928,2.31E-03,61.697
6,57.51,13.119,13.124,3928,3.34E-03,75.729
7,61.997,19.271,19.273,3928,4.91E-03,88.438
8,68.009,28.872,28.887,3928,7.35E-03,98.684
9,77.816,43.095,43.113,3928,1.10E-02,105.75
10,91.334,60.838,60.866,3928,1.55E-02,110.1
11,110.55,81.553,81.601,3928,2.08E-02,112.86
12,132.61,104.33,104.39,3928,2.66E-02,114.63
13,206.17,151.96,152.06,3928,3.87E-02,116.7
14,254.13,201.02,201.14,3928,5.12E-02,117.87
15,300.01,249.14,249.28,3928,6.34E-02,118.56
16,348.24,297.6,297.77,3928,7.58E-02,119.04
17,390.89,343.34,343.54,3928,8.74E-02,119.39
18,429.64,385.74,385.96,3928,9.82E-02,119.63
19,467.43,425.91,426.15,3928,0.1084,119.81
20,502.19,463.43,463.7,3928,0.118,119.95
21,534.68,498.47,498.77,3928,0.1269,120.07
22,566.09,531.73,532.05,3928,0.1354,120.16
23,593.73,562.18,562.53,3928,0.1431,120.25
24,622.5,591.87,592.22,3928,0.1507,120.28
25,647.45,619.17,619.55,3928,0.1576,120.34
26,670.27,644.25,644.64,3928,0.164,120.38
27,692.7,668.02,668.43,3928,0.1701,120.41
28,713.37,690.27,690.67,3928,0.1757,120.42
29,732.41,710.91,711.33,3928,0.181,120.45
30,751.11,730.58,731.02,3928,0.186,120.48
31,767.87,748.82,749.26,3928,0.1906,120.49
32,782.65,765.32,765.77,3928,0.1948,120.51
33,797.44,780.97,781.44,3928,0.1988,120.53
34,811.35,795.76,796.25,3928,0.2026,120.54
35,824.18,809.58,810.07,3928,0.2061,120.55
36,836.48,822.65,823.13,3928,0.2094,120.56
37,847.93,834.92,835.41,3928,0.2126,120.56
38,858.64,846.39,846.89,3928,0.2155,120.58
39,868.73,857.18,857.69,3928,0.2182,120.6
40,878.4,867.42,867.91,3928,0.2208,120.61
41,888.21,877.44,877.97,3928,0.2234,120.63
42,896.59,886.65,887.18,3928,0.2257,120.63
43,995.95,940.73,941.3,3928,0.2395,120.61
44,1048.5,994.02,994.6,3928,0.2531,120.58
45,1098.4,1045.6,1046.2,3928,0.2662,120.56
46,1148.8,1096.7,1097.3,3928,0.2792,120.52
47,1197.5,1146.5,1147.2,3928,0.2919,120.48
48,1244.6,1195,1195.7,3928,0.3042,120.41
49,1291.6,1242.7,1243.4,3928,0.3164,120.38
50,1336.1,1288.9,1289.6,3928,0.3281,120.32
51,1390.2,1339,1339.7,3928,0.3409,120.24
52,1440.1,1389,1389.8,3928,0.3536,120.14
53,1490,1438.9,1439.7,3928,0.3663,120.06
54,1541.2,1489.5,1490.3,3928,0.3792,119.97
55,1591.6,1540,1540.9,3928,0.3921,119.86
56,1641.9,1590.4,1591.3,3928,0.4049,119.73
57,1691.8,1640.6,1641.5,3928,0.4177,119.61
58,1742.6,1691,1691.9,3928,0.4305,119.49
59,1792.5,1741.2,1742.2,3928,0.4433,119.32
60,1842.9,1791.4,1792.4,3928,0.4561,119.26
61,1892.9,1841.6,1842.6,3928,0.4688,119.09
62,1943.7,1892.1,1893.1,3928,0.4817,118.91
63,1993.3,1942.1,1943.2,3928,0.4944,118.77
64,2043.9,1992.5,1993.5,3928,0.5073,118.58
65,2093.8,2042.7,2043.7,3928,0.52,118.36
66,2143.6,2092.6,2093.7,3928,0.5327,118.2
67,2193.6,2142.5,2143.6,3928,0.5454,118.02
68,2244.1,2192.8,2193.9,3928,0.5582,117.83
69,2294.7,2243.3,2244.4,3928,0.5711,117.56
70,2344.6,2293.4,2294.5,3928,0.5839,117.36
71,2395,2343.7,2344.8,3928,0.5967,117.15
72,2445.5,2394.1,2395.3,3928,0.6095,116.9
73,2495.7,2444.4,2445.6,3928,0.6223,116.62
74,2545.3,2494.4,2495.6,3928,0.635,116.34
75,2595.4,2544.4,2545.6,3928,0.6478,116.12
76,2645.3,2594.3,2595.6,3928,0.6605,115.88
77,2695.5,2644.4,2645.7,3928,0.6732,115.63
78,2745.4,2694.5,2695.7,3928,0.686,115.32
79,2795.8,2744.7,2746,3928,0.6988,115.02
80,2845.3,2794.6,2795.8,3928,0.7115,114.71
81,2895.6,2844.7,2846,3928,0.7242,114.37
82,2945.6,2894.8,2896.1,3928,0.737,114.02
83,2995.6,2944.9,2946.2,3928,0.7497,113.61
84,3045.6,2995,2996.2,3928,0.7625,113.22
85,3095.6,3045,3046.3,3928,0.7752,112.77
DES
