ファイル名,Asch065B_C2H6_298K_Exp190327.DAT
測定日,19/03/27
測定時間,32:21:22
コメント１,Asch065B
コメント２,noro
コメント３,120℃24時間真空乾燥
コメント４,試料管リーク量：0.098Pa/min
シリアルナンバー,00508
バージョン,
サンプル質量,8.2700E-02,[g]
装置本体基準容積,9.0090,[cm^3]
サンプル部死容積,6.3450,[cm^3]
平衡時間,0,[SEC]
吸着質名称,C2H6
空気恒温槽温度,0.0000,[℃]
吸着温度,298.00,[K]
飽和蒸気圧,6098.0,[kPa]
吸着断面積,0.0000,[nm^2]
壁面吸着補正ファイル名,
壁面吸着補正値１,
壁面吸着補正値２,
吸着データ数,79
脱着データ数,73

No,pi/kPa,pe/kPa,pe2/kPa,p0/kPa,p/p0,Va/cm^3(STP) g^-1
ADS
1,0.0000,0.4422,0.0000,6098.0,7.2507E-05,0.8493
2,0.0000,1.3224,0.0000,6098.0,2.1686E-04,2.5599
3,0.0000,1.8294,0.0000,6098.0,3.0000E-04,3.5481
4,0.0000,2.7503,0.0000,6098.0,4.5102E-04,5.3258
5,0.0000,3.3060,0.0000,6098.0,5.4214E-04,6.4055
6,0.0000,4.2714,0.0000,6098.0,7.0046E-04,8.2667
7,0.0000,4.8393,0.0000,6098.0,7.9359E-04,9.3633
8,0.0000,5.7804,0.0000,6098.0,9.4792E-04,11.160
9,0.0000,6.2672,0.0000,6098.0,1.0277E-03,12.087
10,0.0000,7.2164,0.0000,6098.0,1.1834E-03,13.876
11,0.0000,7.7397,0.0000,6098.0,1.2692E-03,14.846
12,0.0000,8.7092,0.0000,6098.0,1.4282E-03,16.625
13,0.0000,9.2689,0.0000,6098.0,1.5200E-03,17.642
14,0.0000,10.247,0.0000,6098.0,1.6804E-03,19.405
15,0.0000,10.782,0.0000,6098.0,1.7681E-03,20.347
16,0.0000,11.776,0.0000,6098.0,1.9311E-03,22.083
17,0.0000,12.384,0.0000,6098.0,2.0308E-03,23.135
18,0.0000,13.313,0.0000,6098.0,2.1832E-03,24.705
19,0.0000,13.857,0.0000,6098.0,2.2724E-03,25.638
20,0.0000,14.810,0.0000,6098.0,2.4287E-03,27.188
21,0.0000,15.394,0.0000,6098.0,2.5244E-03,28.117
22,0.0000,16.441,0.0000,6098.0,2.6961E-03,29.774
23,0.0000,16.915,0.0000,6098.0,2.7739E-03,30.516
24,0.0000,17.950,0.0000,6098.0,2.9436E-03,32.086
25,0.0000,18.404,0.0000,6098.0,3.0180E-03,32.775
26,0.0000,19.378,0.0000,6098.0,3.1778E-03,34.200
27,0.0000,19.929,0.0000,6098.0,3.2681E-03,34.981
28,0.0000,21.061,0.0000,6098.0,3.4538E-03,36.572
29,0.0000,21.609,0.0000,6098.0,3.5436E-03,37.328
30,0.0000,22.659,0.0000,6098.0,3.7158E-03,38.741
31,0.0000,23.130,0.0000,6098.0,3.7930E-03,39.339
32,0.0000,24.140,0.0000,6098.0,3.9587E-03,40.656
33,0.0000,24.614,0.0000,6098.0,4.0364E-03,41.229
34,0.0000,25.616,0.0000,6098.0,4.2007E-03,42.464
35,0.0000,26.079,0.0000,6098.0,4.2766E-03,43.033
36,0.0000,27.125,0.0000,6098.0,4.4482E-03,44.230
37,0.0000,27.653,0.0000,6098.0,4.5348E-03,44.857
38,0.0000,28.744,0.0000,6098.0,4.7137E-03,46.071
39,0.0000,29.997,0.0000,6098.0,4.9192E-03,47.420
40,0.0000,30.561,0.0000,6098.0,5.0116E-03,48.026
41,0.0000,31.681,0.0000,6098.0,5.1953E-03,49.146
42,0.0000,32.159,0.0000,6098.0,5.2737E-03,49.636
43,0.0000,33.226,0.0000,6098.0,5.4487E-03,50.681
44,0.0000,34.553,0.0000,6098.0,5.6663E-03,51.936
45,0.0000,35.108,0.0000,6098.0,5.7573E-03,52.449
46,0.0000,36.277,0.0000,6098.0,5.9490E-03,53.476
