====================
 System property Ver1.2.6
====================
"Instrument S/N:"	00218
"Vs/ml:"	27.698
=======================
 Measurement condition
=======================
"Adsorptive:"	CH4
"Meas. Temp./K:"	111.00
"Molecular cross-sectional area:"	0
"Molecular weight of adsorbate:"	0.00
"Equilibrium time/sec:"	0
"Measurement mode:"	1
====================
 Sample information
====================
"Sample weight/g:"	0.01830
"Comment1:"	"aus der Box"
"Comment2:"	"volodymyr"
"Comment3:"	"???"
"Comment4:"	", Vacuum degree before measurement:2.622E-5Pa"
"as/m2 g-1:"	0.0000
"Molecular weight of adsorbent:"	0.00
====================
 Time and dead volume
====================
"Date of measurement:"	19/05/02
"Time of measurement:"	23:41:56
"Not used:"	0.0000E+0
"Average dead volume:"	3.7145E+1
"Initial dead volume/ml:"	37.145
====================
 Adsorption data
====================
"No."	"Pe/kPa"	"P0/kPa"	"Vd/ml"	"V/ml(STP) g-1"
1	7.5613E-1	101.33	37.145	37.568
2	1.5497	101.33	37.145	80.218
3	1.5985	101.33	37.145	134.50
4	1.6677	101.33	37.145	186.64
5	1.9038	101.33	37.145	231.44
6	2.5752	101.33	37.145	278.04
7	3.2956	101.33	37.145	290.51
8	5.3140	101.33	37.145	323.53
9	7.7231	101.33	37.145	340.94
10	8.6468	101.33	37.145	350.71
11	9.6926	101.33	37.145	354.79
12	10.734	101.33	37.145	357.86
13	11.756	101.33	37.145	360.66
14	13.030	101.33	37.145	363.30
15	13.953	101.33	37.145	365.47
16	16.338	101.33	37.145	368.68
17	18.893	101.33	37.145	372.20
18	21.421	101.33	37.145	375.52
19	26.430	101.33	37.145	380.06
20	28.937	101.33	37.145	383.19
21	31.456	101.33	37.145	386.15
22	33.987	101.33	37.145	389.99
23	36.510	101.33	37.145	395.33
24	39.077	101.33	37.145	402.14
25	41.470	101.33	37.145	410.37
26	43.993	101.33	37.145	418.92
27	46.520	101.33	37.145	428.32
28	48.966	101.33	37.145	437.79
29	51.196	101.33	37.145	447.89
30	53.739	101.33	37.145	458.26
31	56.140	101.33	37.145	469.15
32	58.773	101.33	37.145	479.88
33	61.414	101.33	37.145	490.85
34	63.978	101.33	37.145	501.67
35	66.476	101.33	37.145	512.56
36	69.122	101.33	37.145	522.54
37	71.665	101.33	37.145	532.33
38	74.282	101.33	37.145	542.55
39	76.821	101.33	37.145	551.82
40	79.340	101.33	37.145	561.80
41	81.814	101.33	37.145	570.55
42	84.304	101.33	37.145	579.69
43	86.835	101.33	37.145	588.62
44	89.297	101.33	37.145	599.83
45	91.458	101.33	37.145	643.24
46	91.702	101.33	37.145	734.96
47	91.747	101.33	37.145	823.11
48	91.755	101.33	37.145	911.73
49	91.755	101.33	37.145	1001.0
50	91.768	101.33	37.145	1088.6
51	91.768	101.33	37.145	1176.8
52	91.772	101.33	37.145	1265.3
53	91.763	101.33	37.145	1353.0
0	0	0	0	0
====================
 Desorption data
====================
"No."	"Pe/kPa"	"P0/kPa"	"Vd/ml"	"V/ml(STP) g-1"
1	91.470	101.33	37.145	1271.2
2	91.405	101.33	37.145	1188.5
3	91.344	101.33	37.145	1109.6
4	91.255	101.33	37.145	1036.8
5	90.917	101.33	37.145	976.42
6	89.086	101.33	37.145	894.27
7	88.276	101.33	37.145	845.83
8	85.924	101.33	37.145	780.92
9	83.279	101.33	37.145	687.75
10	80.341	101.33	37.145	617.62
11	77.724	101.33	37.145	614.50
12	75.197	101.33	37.145	610.78
13	72.670	101.33	37.145	608.77
14	70.053	101.33	37.145	605.86
15	67.518	101.33	37.145	603.23
16	64.877	101.33	37.145	600.95
17	62.354	101.33	37.145	598.16
18	59.835	101.33	37.145	595.20
19	57.499	101.33	37.145	592.71
20	54.883	101.33	37.145	589.34
21	52.156	101.33	37.145	586.25
22	49.918	101.33	37.145	583.26
23	47.399	101.33	37.145	580.31
24	44.970	101.33	37.145	576.80
25	42.459	101.33	37.145	572.90
26	39.956	101.33	37.145	567.25
27	37.499	101.33	37.145	562.37
28	34.976	101.33	37.145	557.66
29	32.453	101.33	37.145	552.32
30	29.934	101.33	37.145	546.64
31	27.423	101.33	37.145	539.53
32	25.018	101.33	37.145	531.16
33	19.996	101.33	37.145	502.39
34	17.359	101.33	37.145	465.64
35	14.808	101.33	37.145	418.08
36	12.391	101.33	37.145	379.64
37	11.487	101.33	37.145	374.95
38	10.714	101.33	37.145	371.39
39	9.9612	101.33	37.145	368.28
40	9.1921	101.33	37.145	365.57
41	8.4434	101.33	37.145	362.65
42	7.4708	101.33	37.145	359.01
43	6.6569	101.33	37.145	355.32
44	4.8989	101.33	37.145	346.47
45	4.1461	101.33	37.145	335.10
46	2.0340	101.33	37.145	308.20
47	1.5415	101.33	37.145	302.75
48	4.0268E-1	101.33	37.145	251.44
49	1.3516E-1	101.33	37.145	201.46
50	6.6596E-2	101.33	37.145	151.48
51	2.6421E-2	101.33	37.145	101.67
0	0	0	0	0
