====================
 System property Ver1.2.6
====================
"Instrument S/N:"	00218
"Vs/ml:"	27.698
=======================
 Measurement condition
=======================
"Adsorptive:"	CH4
"Meas. Temp./K:"	111.00
"Molecular cross-sectional area:"	0
"Molecular weight of adsorbate:"	0.00
"Equilibrium time/sec:"	0
"Measurement mode:"	1
====================
 Sample information
====================
"Sample weight/g:"	0.01830
"Comment1:"	"aus der Box"
"Comment2:"	"volodymyr"
"Comment3:"	"???"
"Comment4:"	", Vacuum degree before measurement:7.517E-5Pa"
"as/m2 g-1:"	0.0000
"Molecular weight of adsorbent:"	0.00
====================
 Time and dead volume
====================
"Date of measurement:"	19/04/30
"Time of measurement:"	28:43:09
"Not used:"	0.0000E+0
"Average dead volume:"	3.7114E+1
"Initial dead volume/ml:"	37.114
====================
 Adsorption data
====================
"No."	"Pe/kPa"	"P0/kPa"	"Vd/ml"	"V/ml(STP) g-1"
1	7.6024E-1	101.33	37.114	-5.1298E-1
2	1.5863	101.33	37.114	41.431
3	1.7857	101.33	37.114	88.873
4	1.9648	101.33	37.114	128.54
5	1.9933	101.33	37.114	170.08
6	2.0706	101.33	37.114	208.77
7	2.4003	101.33	37.114	274.69
8	2.8642	101.33	37.114	323.38
9	5.1594	101.33	37.114	365.53
10	5.9325	101.33	37.114	380.14
11	7.8574	101.33	37.114	397.20
12	8.8910	101.33	37.114	408.00
13	9.9531	101.33	37.114	413.92
14	10.970	101.33	37.114	419.14
15	12.000	101.33	37.114	423.78
16	13.021	101.33	37.114	427.96
17	13.945	101.33	37.114	432.22
18	16.277	101.33	37.114	439.23
19	18.775	101.33	37.114	449.75
20	21.290	101.33	37.114	462.96
21	26.226	101.33	37.114	512.81
22	28.631	101.33	37.114	545.42
23	31.122	101.33	37.114	586.38
24	33.661	101.33	37.114	632.48
25	36.245	101.33	37.114	677.70
26	38.846	101.33	37.114	716.18
27	41.503	101.33	37.114	758.14
28	44.071	101.33	37.114	782.85
29	46.528	101.33	37.114	790.33
30	48.942	101.33	37.114	801.47
31	51.192	101.33	37.114	812.47
32	53.703	101.33	37.114	823.61
33	56.144	101.33	37.114	833.83
34	58.781	101.33	37.114	843.24
35	61.430	101.33	37.114	851.81
36	63.953	101.33	37.114	860.50
37	66.517	101.33	37.114	867.73
38	69.142	101.33	37.114	875.18
39	71.669	101.33	37.114	882.35
40	74.294	101.33	37.114	889.49
41	76.841	101.33	37.114	895.49
42	79.401	101.33	37.114	901.13
43	81.818	101.33	37.114	906.87
44	84.345	101.33	37.114	912.55
45	86.872	101.33	37.114	919.14
46	89.383	101.33	37.114	926.07
47	91.593	101.33	37.114	940.45
48	91.967	101.33	37.114	1027.0
49	91.983	101.33	37.114	1109.8
50	91.991	101.33	37.114	1192.4
51	91.991	101.33	37.114	1274.7
52	91.999	101.33	37.114	1355.8
53	92.004	101.33	37.114	1436.4
54	92.004	101.33	37.114	1518.1
55	91.995	101.33	37.114	1600.0
0	0	0	0	0
====================
 Desorption data
====================
"No."	"Pe/kPa"	"P0/kPa"	"Vd/ml"	"V/ml(STP) g-1"
1	91.645	101.33	37.114	1508.7
2	91.544	101.33	37.114	1417.8
3	91.405	101.33	37.114	1333.0
4	91.247	101.33	37.114	1257.1
5	90.563	101.33	37.114	1215.7
6	89.057	101.33	37.114	1133.1
7	88.235	101.33	37.114	1084.1
8	85.834	101.33	37.114	1021.6
9	83.088	101.33	37.114	946.76
10	80.211	101.33	37.114	931.82
11	77.749	101.33	37.114	928.73
12	75.213	101.33	37.114	925.81
13	72.686	101.33	37.114	922.63
14	70.070	101.33	37.114	919.79
15	67.530	101.33	37.114	916.99
16	64.894	101.33	37.114	914.13
17	62.366	101.33	37.114	911.11
18	59.843	101.33	37.114	908.32
19	57.508	101.33	37.114	905.44
20	54.883	101.33	37.114	902.22
21	52.160	101.33	37.114	898.68
22	49.926	101.33	37.114	895.90
23	47.407	101.33	37.114	892.66
24	44.978	101.33	37.114	889.05
25	42.467	101.33	37.114	885.16
26	39.969	101.33	37.114	879.14
27	37.511	101.33	37.114	874.31
28	34.996	101.33	37.114	869.51
29	32.465	101.33	37.114	864.73
30	29.942	101.33	37.114	859.13
31	27.415	101.33	37.114	852.92
32	25.022	101.33	37.114	845.79
33	19.907	101.33	37.114	824.07
34	17.502	101.33	37.114	814.96
35	14.938	101.33	37.114	787.47
36	12.590	101.33	37.114	738.91
37	11.821	101.33	37.114	678.36
38	11.471	101.33	37.114	624.37
39	11.105	101.33	37.114	574.16
40	10.409	101.33	37.114	532.67
41	9.7333	101.33	37.114	488.79
42	9.0253	101.33	37.114	479.52
43	8.2073	101.33	37.114	457.21
44	7.5115	101.33	37.114	450.05
45	6.7383	101.33	37.114	440.25
46	4.8582	101.33	37.114	413.02
47	4.1827	101.33	37.114	401.30
48	2.0910	101.33	37.114	368.77
49	1.3706	101.33	37.114	351.31
50	4.8379E-1	101.33	37.114	300.33
51	2.5759E-1	101.33	37.114	272.51
52	1.1257E-1	101.33	37.114	222.46
53	5.3996E-2	101.33	37.114	172.23
54	2.4599E-2	101.33	37.114	125.64
0	0	0	0	0
