====================
 System property Ver1.2.6
====================
"Instrument S/N:"	00218
"Vs/ml:"	27.698
=======================
 Measurement condition
=======================
"Adsorptive:"	N2
"Meas. Temp./K:"	77.40
"Molecular cross-sectional area:"	0
"Molecular weight of adsorbate:"	0.00
"Equilibrium time/sec:"	0
"Measurement mode:"	2
====================
 Sample information
====================
"Sample weight/g:"	0.01700
"Comment1:"	"SKDM017_SCD5dEtOH+act150C22h_N277K_run1"
"Comment2:"	"Simon"
"Comment3:"	"SCD5dEtOH+act150C22h"
"Comment4:"	"run1, Vacuum degree before measurement:1.063E-4Pa"
"as/m2 g-1:"	0.0000
"Molecular weight of adsorbent:"	0.00
====================
 Time and dead volume
====================
"Date of measurement:"	16/04/19
"Time of measurement:"	42:29:06
"Not used:"	0.0000E+0
"Average dead volume:"	3.2058E+1
"Initial dead volume/ml:"	31.805
====================
 Adsorption data
====================
"No."	"Pe/kPa"	"P0/kPa"	"Vd/ml"	"V/ml(STP) g-1"
1	6.9822E-4	102.37	31.724	20.553
2	3.4157E-3	102.43	31.649	45.353
3	8.8798E-3	102.39	31.591	70.031
4	1.4163E-2	102.33	31.541	94.263
5	1.9242E-2	102.25	31.505	118.23
6	2.4403E-2	102.30	31.469	142.02
7	2.9888E-2	102.26	31.443	165.55
8	3.6268E-2	102.20	31.415	188.81
9	4.4070E-2	102.15	31.387	211.56
10	5.3578E-2	102.09	31.366	233.71
11	6.6135E-2	102.11	31.342	255.97
12	8.1779E-2	101.99	31.329	276.87
13	1.0348E-1	101.97	31.309	297.81
14	1.3465E-1	101.95	31.294	318.74
15	1.8767E-1	101.94	31.279	342.46
16	2.5525E-1	101.93	31.262	362.37
17	3.5647E-1	101.95	31.248	383.05
18	4.6379E-1	102.01	31.235	399.29
19	5.6265E-1	102.00	31.225	412.18
20	6.7111E-1	102.01	31.218	425.95
21	7.4990E-1	102.04	31.208	435.19
22	8.7530E-1	102.10	31.197	449.09
23	9.6368E-1	102.11	31.187	456.75
24	1.0585	102.12	31.176	464.77
25	1.3345	102.14	31.169	487.18
26	1.5787	102.11	31.156	506.02
27	1.8759	102.13	31.147	527.81
28	2.0754	102.15	31.140	542.04
29	2.4011	102.18	31.132	564.24
30	2.5517	102.16	31.123	574.66
31	2.9018	102.18	31.113	597.86
32	3.0647	102.22	31.104	608.56
33	3.4352	102.19	31.098	631.52
