====================
 System property Ver1.2.6
====================
"Instrument S/N:"	00218
"Vs/ml:"	27.698
=======================
 Measurement condition
=======================
"Adsorptive:"	Ar
"Meas. Temp./K:"	87.00
"Molecular cross-sectional area:"	0
"Molecular weight of adsorbate:"	0.00
"Equilibrium time/sec:"	0
"Measurement mode:"	1
====================
 Sample information
====================
"Sample weight/g:"	0.01040
"Comment1:"	"SKDM019_SCDEtOH_Act.150�C_Ar_87K"
"Comment2:"	"Simon"
"Comment3:"	"SCDEtOH_Act.150�C"
"Comment4:"	"run1, Vacuum degree before measurement:5.528E-6Pa"
"as/m2 g-1:"	0.0000
"Molecular weight of adsorbent:"	0.00
====================
 Time and dead volume
====================
"Date of measurement:"	17/06/02
"Time of measurement:"	108:36:34
"Not used:"	0.0000E+0
"Average dead volume:"	4.1792E+1
"Initial dead volume/ml:"	41.792
====================
 Adsorption data
====================
"No."	"Pe/kPa"	"P0/kPa"	"Vd/ml"	"V/ml(STP) g-1"
1	6.8747E-3	101.00	41.792	2.9345
2	1.0481E-1	101.00	41.793	39.875
3	2.1062E-1	101.00	41.793	99.501
4	2.6960E-1	101.00	41.794	156.17
5	3.5191E-1	101.00	41.794	209.10
6	4.9023E-1	101.00	41.795	255.71
7	6.7888E-1	101.00	41.796	294.00
8	9.8808E-1	101.00	41.798	332.34
9	1.2900	101.00	41.800	357.63
10	1.9696	101.00	41.805	393.47
11	2.4905	101.00	41.808	414.64
12	3.5201	101.00	41.814	451.39
13	3.6951	101.00	41.815	457.06
14	4.1631	101.00	41.818	472.87
15	4.8875	101.00	41.823	496.92
16	5.7747	101.00	41.828	527.89
17	5.9131	101.00	41.829	532.85
18	6.8776	101.00	41.835	567.80
19	7.6997	101.00	41.841	599.23
20	7.8340	101.00	41.841	604.79
21	8.6560	101.00	41.847	637.71
22	8.7374	101.00	41.847	640.61
23	9.3153	101.00	41.851	664.95
24	9.5839	101.00	41.853	676.82
25	9.7182	101.00	41.853	682.20
26	10.268	101.00	41.857	706.92
27	10.544	101.00	41.859	719.00
28	10.666	101.00	41.859	725.17
29	11.220	101.00	41.863	750.23
30	11.488	101.00	41.865	762.66
31	11.623	101.00	41.865	768.79
32	12.168	101.00	41.869	794.87
33	12.437	101.00	41.871	808.34
34	12.608	101.00	41.872	817.55
35	13.120	101.00	41.875	844.34
36	17.845	101.00	41.905	704.12
37	18.403	101.00	41.908	704.89
38	19.457	101.00	41.915	706.58
39	20.425	101.00	41.921	708.41
40	21.406	101.00	41.928	709.39
41	22.399	101.00	41.934	710.92
42	23.229	101.00	41.939	711.92
43	24.316	101.00	41.946	713.92
44	25.175	101.00	41.952	714.66
45	26.131	101.00	41.958	716.02
46	27.096	101.00	41.964	717.27
47	28.076	101.00	41.970	718.51
48	29.045	101.00	41.976	719.38
49	30.026	101.00	41.983	720.19
50	31.674	101.00	41.993	722.89
51	32.732	101.00	42.000	723.83
52	33.729	101.00	42.006	725.46
53	34.685	101.00	42.013	727.47
54	35.650	101.00	42.019	729.10
55	36.586	101.00	42.025	732.66
56	37.481	101.00	42.031	738.85
57	38.312	101.00	42.036	749.94
58	38.983	101.00	42.040	771.00
59	39.720	101.00	42.045	879.67
60	40.151	101.00	42.048	1017.4
61	40.501	101.00	42.050	1130.2
62	40.814	101.00	42.052	1228.4
63	41.246	101.00	42.055	1355.0
64	41.689	101.00	42.058	1457.6
65	42.357	101.00	42.062	1577.7
66	42.878	101.00	42.065	1649.4
67	43.850	101.00	42.072	1747.7
68	44.957	101.00	42.079	1816.4
69	45.942	101.00	42.085	1860.5
70	46.719	101.00	42.090	1883.4
71	47.708	101.00	42.097	1906.3
72	48.799	101.00	42.104	1924.2
73	49.910	101.00	42.111	1937.5
74	51.009	101.00	42.118	1945.6
75	52.055	101.00	42.125	1953.1
76	53.076	101.00	42.132	1958.6
77	54.077	101.00	42.138	1962.5
78	55.066	101.00	42.145	1965.3
79	56.059	101.00	42.151	1968.3
80	57.044	101.00	42.157	1970.5
81	58.021	101.00	42.164	1972.4
82	58.998	101.00	42.170	1974.1
83	59.966	101.00	42.176	1976.3
84	60.951	101.00	42.183	1977.7
85	62.786	101.00	42.195	1980.9
86	63.869	101.00	42.202	1982.4
87	65.704	101.00	42.214	1985.8
88	66.775	101.00	42.221	1987.4
89	68.639	101.00	42.233	1990.6
90	69.680	101.00	42.240	1992.8
91	71.569	101.00	42.253	1995.2
92	72.610	101.00	42.260	1996.7
93	74.478	101.00	42.272	1998.6
94	75.528	101.00	42.279	2001.0
95	77.396	101.00	42.291	2003.3
96	79.346	101.00	42.304	2005.7
97	81.279	101.00	42.317	2008.9
98	83.212	101.00	42.330	2011.5
99	85.153	101.00	42.343	2014.8
100	87.102	101.00	42.356	2017.8
101	89.040	101.00	42.368	2021.1
102	90.977	101.00	42.381	2024.9
103	92.910	101.00	42.394	2029.2
104	94.798	101.00	42.407	2034.3
105	96.707	101.00	42.420	2042.7
0	0	0	0	0
====================
 Desorption data
====================
"No."	"Pe/kPa"	"P0/kPa"	"Vd/ml"	"V/ml(STP) g-1"
1	95.006	101.00	42.408	2039.8
2	93.117	101.00	42.396	2034.8
3	91.197	101.00	42.383	2029.7
4	89.259	101.00	42.370	2024.8
5	87.318	101.00	42.357	2019.8
6	85.377	101.00	42.344	2017.4
7	83.436	101.00	42.331	2014.1
8	81.495	101.00	42.318	2010.7
9	79.566	101.00	42.306	2007.1
10	77.624	101.00	42.293	2004.4
11	75.699	101.00	42.280	2002.6
12	73.778	101.00	42.267	1998.9
13	71.858	101.00	42.255	1994.8
14	69.920	101.00	42.242	1993.2
15	68.000	101.00	42.229	1989.4
16	66.071	101.00	42.216	1987.4
17	65.000	101.00	42.209	1986.4
18	63.173	101.00	42.197	1983.3
19	62.119	101.00	42.191	1981.7
20	60.279	101.00	42.179	1978.5
21	59.217	101.00	42.172	1976.6
22	57.390	101.00	42.160	1973.9
23	56.336	101.00	42.153	1972.1
24	54.509	101.00	42.141	1968.9
25	53.438	101.00	42.134	1967.3
26	51.619	101.00	42.122	1963.0
27	50.549	101.00	42.115	1961.5
28	49.568	101.00	42.109	1960.0
29	47.773	101.00	42.097	1956.3
30	46.386	101.00	42.088	1953.4
31	44.786	101.00	42.078	1950.0
32	43.179	101.00	42.067	1946.5
33	41.571	101.00	42.057	1942.7
34	40.004	101.00	42.047	1938.4
35	38.942	101.00	42.040	1935.5
36	37.978	101.00	42.034	1933.0
37	37.017	101.00	42.028	1930.2
38	36.053	101.00	42.021	1927.1
39	35.088	101.00	42.015	1924.4
40	34.136	101.00	42.009	1921.4
41	33.188	101.00	42.003	1917.2
42	32.276	101.00	41.997	1911.6
43	31.458	101.00	41.992	1901.1
44	30.746	101.00	41.987	1881.9
45	28.353	101.00	41.972	1768.5
46	27.783	101.00	41.968	1739.5
47	27.352	101.00	41.966	1718.9
48	26.721	101.00	41.962	1693.1
49	26.286	101.00	41.959	1677.3
50	26.168	101.00	41.958	1672.5
51	25.443	101.00	41.953	1651.5
52	24.463	101.00	41.947	1626.2
53	23.396	101.00	41.940	1606.0
54	23.217	101.00	41.939	1603.0
55	22.330	101.00	41.933	1591.9
56	21.390	101.00	41.927	1580.2
57	21.252	101.00	41.927	1578.5
58	20.413	101.00	41.921	1567.8
59	20.291	101.00	41.920	1565.6
60	19.526	101.00	41.916	1551.3
61	19.388	101.00	41.915	1547.3
62	18.826	101.00	41.911	1521.7
63	18.602	101.00	41.910	1504.7
64	18.228	101.00	41.907	1458.5
65	18.024	101.00	41.906	1425.2
66	17.878	101.00	41.905	1398.5
67	17.772	101.00	41.904	1376.1
68	17.695	101.00	41.904	1356.9
69	17.544	101.00	41.903	1315.1
70	17.373	101.00	41.902	1265.4
71	17.231	101.00	41.901	1225.6
72	17.109	101.00	41.900	1191.4
73	17.011	101.00	41.900	1161.4
74	16.921	101.00	41.899	1134.8
75	16.848	101.00	41.899	1111.0
76	16.779	101.00	41.898	1090.6
77	16.718	101.00	41.898	1072.2
78	16.612	101.00	41.897	1029.3
79	16.453	101.00	41.896	977.25
80	16.327	101.00	41.895	935.50
81	16.213	101.00	41.895	899.32
82	16.103	101.00	41.894	867.12
83	16.014	101.00	41.893	837.97
84	15.916	101.00	41.893	813.51
85	15.831	101.00	41.892	792.38
86	15.749	101.00	41.892	774.20
87	15.420	101.00	41.890	726.38
88	14.862	101.00	41.886	705.90
89	13.560	101.00	41.878	698.15
90	12.571	101.00	41.871	694.42
91	11.590	101.00	41.865	691.24
92	10.618	101.00	41.859	688.31
93	9.6653	101.00	41.853	684.68
94	6.8776	101.00	41.835	673.06
95	6.6131	101.00	41.834	671.25
96	4.8102	101.00	41.822	656.33
