====================
 System property BELSORP-max Ver1.3.2t
====================
"Instrument S/N:"	00349
"Vs/ml:"	24.464
=======================
 Measurement condition
=======================
"Adsorptive:"	C4H10
"Meas. Temp./K:"	273.15
"Molecular cross-sectional area:"	0
"Molecular weight of adsorbate:"	0.00
"Equilibrium time/sec:"	0
"Measurement mode:"	1
====================
 Sample information
====================
"Sample weight/g:"	0.00490
"Comment1:"	"DUT-49_nbutane_273K_vielePunkte"
"Comment2:"	"Simon"
"Comment3:"	"3h 150�C"
"Comment4:"	", Vacuum degree before measurement:3.768E-4Pa"
"as/m2 g-1:"	0.0000
"Molecular weight of adsorbent:"	0.00
====================
 Time and dead volume
====================
"Date of measurement:"	15/07/04
"Time of measurement:"	28:03:51
"Slope of dead volume:"	3.6860E-7
"Intercept of dead volume:"	1.8594E+1
"Average dead volume:"	1.8615E+1
====================
 Adsorption data
====================
"No."	"Pe/kPa"	"P0/kPa"	"Vd/ml"	"V/ml(STP) g-1"
1	2.5129E-3	101.33	18.618	-4.0870E-3
2	4.3174E-2	101.33	18.619	1.8084
3	8.6515E-2	101.33	18.619	3.8180
4	1.2757E-1	101.33	18.619	5.9011
5	2.4304E-1	101.33	18.619	13.185
6	3.2136E-1	101.33	18.620	19.475
7	4.2382E-1	101.33	18.621	27.450
8	5.2091E-1	101.33	18.621	34.101
9	7.0985E-1	101.33	18.621	43.158
10	9.3694E-1	101.33	18.621	50.686
11	1.0387	101.33	18.620	53.460
12	1.7182	101.33	18.620	62.121
13	2.2235	101.33	18.620	70.716
14	2.3354	101.33	18.620	72.610
15	2.8549	101.33	18.620	79.866
16	3.4571	101.33	18.619	87.112
17	4.0902	101.33	18.618	94.397
18	4.6866	101.33	18.617	100.79
19	5.3213	101.33	18.616	107.14
20	5.9153	101.33	18.616	112.56
21	6.5468	101.33	18.615	118.34
22	7.1408	101.33	18.614	123.84
23	7.7547	101.33	18.613	129.56
24	8.3508	101.33	18.613	135.38
25	8.6993	101.33	18.613	138.97
26	8.9973	101.33	18.613	142.36
27	9.3051	101.33	18.613	145.65
28	9.6023	101.33	18.613	149.00
29	9.9085	101.33	18.612	152.97
30	10.031	101.33	18.612	154.87
31	10.230	101.33	18.611	157.23
32	10.681	101.33	18.612	163.60
33	11.005	101.33	18.611	176.47
34	11.164	101.33	18.611	182.04
35	12.202	101.33	18.610	188.29
36	13.312	101.33	18.608	189.47
37	14.481	101.33	18.607	190.54
38	15.493	101.33	18.605	191.51
39	16.519	101.33	18.604	192.18
40	17.517	101.33	18.603	193.04
41	18.512	101.33	18.602	193.71
42	19.504	101.33	18.600	194.61
43	20.530	101.33	18.599	195.31
44	21.516	101.33	18.598	196.27
45	22.443	101.33	18.597	197.38
46	23.459	101.33	18.595	198.38
47	24.476	101.33	18.594	199.14
48	25.482	101.33	18.593	199.78
49	26.502	101.33	18.591	200.61
50	27.511	101.33	18.591	201.50
51	28.524	101.33	18.589	202.26
52	29.541	101.33	18.588	203.22
53	30.559	101.33	18.586	203.96
54	32.586	101.33	18.584	205.41
55	35.605	101.33	18.579	207.70
56	37.681	101.33	18.576	209.57
57	40.676	101.33	18.572	212.11
58	42.738	101.33	18.569	214.06
59	45.741	101.33	18.564	216.75
60	47.807	101.33	18.562	218.94
61	50.763	101.33	18.558	223.09
62	52.751	101.33	18.554	227.99
63	55.489	101.33	18.551	245.20
64	55.859	101.33	18.551	248.93
65	57.626	101.33	18.548	260.86
66	57.861	101.33	18.548	265.46
67	60.272	101.33	18.544	292.09
68	60.749	101.33	18.544	302.25
69	64.194	101.33	18.539	372.31
70	65.492	101.33	18.538	393.70
71	65.840	101.33	18.538	403.02
72	69.598	101.33	18.533	460.46
73	70.728	101.33	18.531	475.57
74	70.992	101.33	18.531	481.81
75	75.282	101.33	18.525	517.33
76	76.008	101.33	18.523	526.13
77	80.647	101.33	18.517	551.22
78	81.178	101.33	18.516	556.79
79	85.977	101.33	18.508	572.96
80	86.289	101.33	18.508	577.02
81	91.145	101.33	18.502	590.60
82	96.238	101.33	18.494	604.11
83	96.437	101.33	18.494	607.62
0	0	0	0	0
====================
 Desorption data
====================
"No."	"Pe/kPa"	"P0/kPa"	"Vd/ml"	"V/ml(STP) g-1"
1	96.088	101.33	18.495	609.26
2	91.075	101.33	18.503	604.62
3	86.028	101.33	18.511	599.40
4	80.977	101.33	18.518	593.64
5	75.925	101.33	18.526	588.24
6	70.877	101.33	18.533	582.82
7	65.817	101.33	18.541	577.27
8	60.762	101.33	18.550	571.80
9	55.700	101.33	18.558	566.44
10	50.642	101.33	18.565	560.87
11	45.594	101.33	18.574	554.59
12	40.531	101.33	18.582	548.10
13	35.450	101.33	18.590	540.54
14	30.391	101.33	18.598	531.95
15	28.266	101.33	18.601	527.78
16	26.338	101.33	18.605	521.78
17	24.328	101.33	18.609	513.02
18	22.471	101.33	18.612	496.24
19	22.330	101.33	18.612	486.71
20	22.212	101.33	18.613	481.07
21	21.200	101.33	18.614	440.89
22	20.384	101.33	18.616	426.88
23	20.263	101.33	18.616	422.53
24	18.447	101.33	18.619	410.72
25	18.253	101.33	18.620	401.95
26	17.478	101.33	18.621	346.35
27	17.122	101.33	18.622	309.11
28	16.871	101.33	18.623	280.10
29	16.611	101.33	18.623	254.62
30	16.410	101.33	18.624	238.23
31	16.299	101.33	18.623	227.41
32	16.184	101.33	18.624	217.70
33	14.483	101.33	18.626	199.64
34	14.154	101.33	18.627	198.43
35	12.135	101.33	18.630	196.39
36	10.631	101.33	18.632	194.42
37	10.120	101.33	18.632	193.66
38	10.007	101.33	18.632	193.14
39	9.8034	101.33	18.632	192.74
40	9.2078	101.33	18.633	191.16
41	8.2812	101.33	18.635	189.70
42	7.3883	101.33	18.636	187.55
43	6.4650	101.33	18.634	184.08
44	5.2765	101.33	18.631	177.14
45	5.1927	101.33	18.633	174.58
46	4.0161	101.33	18.636	171.78
0	0	0	0	0
