====================
 System property BELSORP-max Ver1.3.2t
====================
"Instrument S/N:"	00349
"Vs/ml:"	24.464
=======================
 Measurement condition
=======================
"Adsorptive:"	C4H10
"Meas. Temp./K:"	273.15
"Molecular cross-sectional area:"	0
"Molecular weight of adsorbate:"	0.00
"Equilibrium time/sec:"	0
"Measurement mode:"	1
====================
 Sample information
====================
"Sample weight/g:"	0.02700
"Comment1:"	"DUT-49_nbutane_298K_vielePunkte_hohemasse"
"Comment2:"	"Simon"
"Comment3:"	"3h 150�C"
"Comment4:"	", Vacuum degree before measurement:4.386E-4Pa"
"as/m2 g-1:"	0.0000
"Molecular weight of adsorbent:"	0.00
====================
 Time and dead volume
====================
"Date of measurement:"	15/07/05
"Time of measurement:"	19:04:56
"Slope of dead volume:"	5.1720E-7
"Intercept of dead volume:"	1.8154E+1
"Average dead volume:"	1.8184E+1
====================
 Adsorption data
====================
"No."	"Pe/kPa"	"P0/kPa"	"Vd/ml"	"V/ml(STP) g-1"
1	8.8035E-2	101.33	18.186	2.6935
2	2.1187E-1	101.33	18.186	6.0835
3	3.6954E-1	101.33	18.186	10.002
4	5.4820E-1	101.33	18.187	14.113
5	7.4299E-1	101.33	18.188	18.327
6	9.4960E-1	101.33	18.188	22.516
7	1.1226	101.33	18.189	25.755
8	1.8269	101.33	18.190	33.636
9	2.2621	101.33	18.190	38.601
10	3.0951	101.33	18.190	46.173
11	3.5955	101.33	18.190	49.961
12	4.1707	101.33	18.191	53.891
13	4.7969	101.33	18.191	57.837
14	5.4198	101.33	18.191	61.402
15	6.0557	101.33	18.191	64.937
16	6.6603	101.33	18.191	68.197
17	7.2942	101.33	18.190	71.394
18	7.9017	101.33	18.190	74.352
19	8.5331	101.33	18.190	77.329
20	8.9162	101.33	18.190	79.216
21	9.4789	101.33	18.190	81.800
22	9.8457	101.33	18.190	83.477
23	10.257	101.33	18.190	85.269
24	10.825	101.33	18.190	87.733
25	11.351	101.33	18.189	89.984
26	12.236	101.33	18.189	93.544
27	13.215	101.33	18.188	97.484
28	14.221	101.33	18.188	101.47
29	15.236	101.33	18.187	105.45
30	16.251	101.33	18.186	109.39
31	17.256	101.33	18.186	113.40
32	18.262	101.33	18.185	117.45
33	19.267	101.33	18.185	121.60
34	20.272	101.33	18.184	125.74
35	21.646	101.33	18.183	131.89
36	22.376	101.33	18.183	135.25
37	23.301	101.33	18.182	139.59
38	24.622	101.33	18.181	146.18
39	25.350	101.33	18.181	150.16
40	26.596	101.33	18.180	157.51
41	27.610	101.33	18.179	164.39
42	28.570	101.33	18.179	171.86
43	29.503	101.33	18.178	180.47
44	30.394	101.33	18.178	190.85
45	31.217	101.33	18.177	203.46
46	31.519	101.33	18.178	211.25
47	39.145	101.33	18.171	183.31
48	40.918	101.33	18.170	183.86
49	42.978	101.33	18.169	184.52
50	45.958	101.33	18.167	185.39
51	48.011	101.33	18.165	186.02
52	51.030	101.33	18.162	186.89
53	53.116	101.33	18.161	187.54
54	56.105	101.33	18.159	188.33
55	58.141	101.33	18.157	188.92
56	61.169	101.33	18.155	189.72
57	66.203	101.33	18.151	190.90
58	71.267	101.33	18.147	192.13
59	76.334	101.33	18.142	193.36
60	81.402	101.33	18.139	194.61
61	86.516	101.33	18.134	195.93
62	91.532	101.33	18.131	197.26
63	96.622	101.33	18.127	198.61
0	0	0	0	0
====================
 Desorption data
====================
"No."	"Pe/kPa"	"P0/kPa"	"Vd/ml"	"V/ml(STP) g-1"
1	95.846	101.33	18.128	198.97
2	90.826	101.33	18.132	198.47
3	85.788	101.33	18.136	197.81
4	80.737	101.33	18.141	197.02
5	75.681	101.33	18.145	196.14
6	70.637	101.33	18.149	195.15
7	65.580	101.33	18.154	194.16
8	60.530	101.33	18.158	193.02
9	55.472	101.33	18.163	191.85
10	50.418	101.33	18.167	190.60
11	45.364	101.33	18.171	189.29
12	40.304	101.33	18.176	187.80
13	35.255	101.33	18.181	186.13
14	31.175	101.33	18.184	184.41
15	30.187	101.33	18.185	183.93
16	29.178	101.33	18.186	183.42
17	28.156	101.33	18.187	182.92
18	27.143	101.33	18.188	182.47
19	26.133	101.33	18.189	182.00
20	25.125	101.33	18.190	181.47
21	24.111	101.33	18.191	180.95
22	23.106	101.33	18.193	180.49
23	22.097	101.33	18.194	179.94
24	20.117	101.33	18.195	178.84
25	18.099	101.33	18.197	177.62
26	16.091	101.33	18.199	176.29
27	14.084	101.33	18.201	174.70
28	12.095	101.33	18.203	172.83
29	10.562	101.33	18.204	171.12
30	9.9813	101.33	18.204	170.27
31	9.5396	101.33	18.204	169.60
32	8.9773	101.33	18.204	168.71
33	8.1211	101.33	18.205	167.29
34	7.2311	101.33	18.206	165.64
35	6.3517	101.33	18.206	163.75
36	5.2118	101.33	18.208	160.78
37	3.8601	101.33	18.209	155.76
38	2.3659	101.33	18.211	145.58
39	1.2973	101.33	18.213	132.00
40	1.0021	101.33	18.213	122.51
41	7.3206E-1	101.33	18.215	108.20
42	6.8181E-1	101.33	18.215	104.15
43	5.6152E-1	101.33	18.216	92.974
44	4.6269E-1	101.33	18.216	80.806
45	3.9264E-1	101.33	18.217	70.378
46	3.2790E-1	101.33	18.217	59.660
47	2.9627E-1	101.33	18.217	54.123
48	2.3381E-1	101.33	18.218	43.343
49	1.7344E-1	101.33	18.217	32.946
50	1.1183E-1	101.33	18.217	22.209
51	9.9794E-2	101.33	18.216	19.983
0	0	0	0	0
