====================
 System property Ver1.2.6
====================
"Instrument S/N:"	00218
"Vs/ml:"	27.698
=======================
 Measurement condition
=======================
"Adsorptive:"	N2
"Meas. Temp./K:"	77.00
"Molecular cross-sectional area:"	0
"Molecular weight of adsorbate:"	0.00
"Equilibrium time/sec:"	0
"Measurement mode:"	2
====================
 Sample information
====================
"Sample weight/g:"	0.03870
"Comment1:"	"DUT67Zr"
"Comment2:"	"Simon"
"Comment3:"	"DMF 2NHCl"
"Comment4:"	"12 h 110 C, Vacuum degree before measurement:1.405E-4Pa"
"as/m2 g-1:"	0.0000
"Molecular weight of adsorbent:"	0.00
====================
 Time and dead volume
====================
"Date of measurement:"	16/03/05
"Time of measurement:"	16:14:38
"Not used:"	0.0000E+0
"Average dead volume:"	2.5999E+1
"Initial dead volume/ml:"	25.627
====================
 Adsorption data
====================
"No."	"Pe/kPa"	"P0/kPa"	"Vd/ml"	"V/ml(STP) g-1"
1	-3.3975E-3	100.01	25.471	23.222
2	-3.3975E-3	100.03	25.345	46.206
3	-6.7950E-3	99.969	25.249	69.232
4	-4.0983E-19	99.847	25.153	92.491
5	1.4870E-2	99.753	25.057	115.44
6	2.6983E-2	99.717	24.995	137.92
7	4.3134E-2	99.668	24.942	160.02
8	9.1586E-2	99.607	24.897	181.38
9	1.7638E-1	99.534	24.865	200.97
10	5.2362E-1	99.522	24.854	233.65
11	1.2383	99.538	24.844	259.56
12	2.9160	99.493	24.834	273.88
13	5.5484	99.448	24.838	281.75
14	7.9575	99.481	24.839	285.81
15	10.618	99.518	24.849	288.75
16	12.576	99.485	24.851	290.39
17	15.002	99.485	24.855	292.02
18	17.589	99.501	24.866	293.46
19	20.222	99.481	24.874	294.75
20	22.810	99.440	24.887	295.85
21	25.414	99.448	24.895	296.79
22	27.993	99.452	24.902	297.64
23	30.569	99.481	24.906	298.40
24	33.153	99.485	24.921	299.07
25	35.712	99.436	24.927	299.58
26	38.263	99.526	24.934	300.16
27	40.855	99.493	24.945	300.78
28	43.390	99.489	24.955	301.23
29	45.933	99.489	24.958	301.73
30	48.484	99.457	24.969	302.15
31	51.007	99.448	24.980	302.56
32	53.546	99.461	24.986	302.91
33	56.089	99.461	24.997	303.36
34	58.628	99.457	25.005	303.77
35	61.167	99.440	25.010	304.12
36	63.698	99.477	25.020	304.41
37	66.249	99.481	25.029	304.72
38	68.804	99.469	25.039	305.03
39	71.331	99.457	25.046	305.41
40	73.850	99.481	25.054	305.86
41	76.381	99.469	25.065	305.96
42	78.908	99.473	25.076	306.22
43	81.451	99.473	25.084	306.50
44	83.982	99.448	25.093	306.80
45	86.488	99.457	25.099	307.12
46	89.023	99.448	25.110	307.45
47	91.542	99.448	25.118	307.75
48	94.040	99.436	25.131	308.17
49	98.338	99.444	25.149	312.46
0	0	0	0	0
====================
 Desorption data
====================
"No."	"Pe/kPa"	"P0/kPa"	"Vd/ml"	"V/ml(STP) g-1"
1	93.971	99.432	25.117	308.40
2	90.920	99.440	25.094	307.51
3	86.151	99.416	25.062	306.95
4	83.539	99.420	25.041	306.72
5	81.073	99.440	25.015	306.32
6	78.636	99.428	24.999	305.91
7	76.198	99.432	24.977	305.61
8	73.753	99.400	24.960	305.27
9	71.287	99.387	24.940	305.05
10	68.853	99.404	24.918	304.71
11	66.416	99.416	24.901	304.41
12	63.995	99.424	24.879	304.15
13	61.569	99.424	24.858	303.67
14	59.132	99.428	24.839	303.34
15	56.694	99.440	24.821	302.98
16	54.269	99.432	24.802	302.60
17	51.832	99.396	24.786	302.26
18	49.386	99.416	24.765	301.74
19	46.977	99.383	24.751	301.26
20	44.527	99.363	24.727	300.89
21	42.106	99.379	24.710	300.37
22	39.677	99.343	24.692	300.00
23	37.235	99.168	24.680	299.35
24	34.794	99.119	24.658	298.69
25	32.365	99.127	24.639	298.03
26	29.960	99.148	24.618	297.35
27	27.555	99.115	24.598	296.65
28	25.170	99.127	24.580	295.83
29	22.761	99.058	24.559	294.91
30	20.384	99.046	24.541	293.95
31	18.008	99.103	24.523	292.80
32	15.660	99.066	24.504	291.53
33	13.344	99.099	24.487	289.98
34	10.273	99.013	24.461	287.51
35	7.8356	99.050	24.439	284.80
36	5.5931	99.038	24.418	280.98
37	1.2262	98.965	24.379	258.27
0	0	0	0	0
