====================
 System property BELSORP-max Ver1.3.2t
====================
"Instrument S/N:"	00348
"Vs/ml:"	24.438
=======================
 Measurement condition
=======================
"Adsorptive:"	H2O
"Meas. Temp./K:"	298.15
"Molecular cross-sectional area:"	0
"Molecular weight of adsorbate:"	0.00
"Equilibrium time/sec:"	0
"Measurement mode:"	1
====================
 Sample information
====================
"Sample weight/g:"	0.03740
"Comment1:"	"Probe Garching"
"Comment2:"	"Claudia Schenk"
"Comment3:"	""
"Comment4:"	"Leak amount : -1.000Pa/Min, Vacuum degree before measurement:3.834E-5Pa"
"as/m2 g-1:"	0.0000
"Molecular weight of adsorbent:"	0.00
====================
 Time and dead volume
====================
"Date of measurement:"	17/01/16
"Time of measurement:"	50:27:32
"Slope of dead volume:"	4.3586E-7
"Intercept of dead volume:"	1.7305E+1
"Average dead volume:"	1.7332E+1
====================
 Adsorption data
====================
"No."	"Pe/kPa"	"P0/kPa"	"Vd/ml"	"V/ml(STP) g-1"
1	2.4284E-2	3.1400	17.332	4.6410
2	6.6971E-2	3.1400	17.334	8.9905
3	1.2486E-1	3.1400	17.336	17.571
4	1.5350E-1	3.1400	17.336	26.377
5	1.8146E-1	3.1400	17.337	39.911
6	1.9987E-1	3.1400	17.338	48.491
7	2.4580E-1	3.1400	17.339	61.591
8	2.9718E-1	3.1400	17.341	70.057
9	3.2771E-1	3.1400	17.341	74.385
10	3.9373E-1	3.1400	17.341	82.983
11	4.2907E-1	3.1400	17.342	87.259
12	4.6634E-1	3.1400	17.343	91.466
13	5.0533E-1	3.1400	17.344	95.697
14	5.4444E-1	3.1400	17.345	99.972
15	5.8522E-1	3.1400	17.346	104.27
16	6.7189E-1	3.1400	17.349	112.50
17	7.2192E-1	3.1400	17.350	116.79
18	7.7500E-1	3.1400	17.351	120.98
19	8.2762E-1	3.1400	17.351	125.17
20	8.7283E-1	3.1400	17.352	129.42
21	8.9532E-1	3.1400	17.353	133.94
22	9.1944E-1	3.1400	17.354	147.80
23	9.3027E-1	3.1400	17.354	162.59
24	9.3721E-1	3.1400	17.355	177.29
25	9.4231E-1	3.1400	17.355	191.77
26	9.4633E-1	3.1400	17.356	206.14
27	9.5039E-1	3.1400	17.357	220.46
28	9.5435E-1	3.1400	17.357	234.84
29	9.5809E-1	3.1400	17.358	248.83
30	9.6244E-1	3.1400	17.359	262.81
31	9.6875E-1	3.1400	17.360	277.55
32	9.7747E-1	3.1400	17.360	292.04
33	1.0055	3.1400	17.361	305.94
34	1.0769	3.1400	17.361	314.95
35	1.1006	3.1400	17.362	319.63
36	1.1313	3.1400	17.362	334.32
37	1.1407	3.1400	17.363	343.81
38	1.1489	3.1400	17.364	353.86
39	1.1605	3.1400	17.364	368.72
40	1.1716	3.1400	17.365	383.33
41	1.1825	3.1400	17.365	397.62
42	1.1906	3.1400	17.366	407.68
43	1.2030	3.1400	17.366	422.63
44	1.2161	3.1400	17.366	437.14
45	1.2306	3.1400	17.367	451.25
46	1.2482	3.1400	17.367	466.01
47	1.2691	3.1400	17.368	480.27
48	1.2978	3.1400	17.369	494.61
49	1.3112	3.1400	17.369	499.22
50	1.3596	3.1400	17.369	508.52
51	1.4449	3.1400	17.371	517.31
52	1.4978	3.1400	17.371	521.73
53	1.5523	3.1400	17.371	526.08
54	1.6125	3.1400	17.372	530.32
55	1.6649	3.1400	17.373	534.77
56	1.7137	3.1400	17.373	539.17
57	1.7674	3.1400	17.374	543.43
58	1.8308	3.1400	17.374	547.63
59	1.9060	3.1400	17.374	551.94
60	1.9853	3.1400	17.375	555.90
61	2.0683	3.1400	17.375	559.88
62	2.1667	3.1400	17.376	563.82
63	2.2773	3.1400	17.376	567.60
64	2.4053	3.1400	17.376	571.36
65	2.5529	3.1400	17.377	574.99
66	2.6965	3.1400	17.377	578.57
67	2.8562	3.1400	17.377	582.41
68	2.9896	3.1400	17.378	586.81
0	0	0	0	0
====================
 Desorption data
====================
"No."	"Pe/kPa"	"P0/kPa"	"Vd/ml"	"V/ml(STP) g-1"
1	2.8384	3.1400	17.378	582.88
2	2.6749	3.1400	17.379	579.25
3	2.5115	3.1400	17.379	575.68
4	2.3484	3.1400	17.379	572.03
5	2.1984	3.1400	17.380	568.54
6	2.0552	3.1400	17.380	564.88
7	1.9264	3.1400	17.380	561.20
8	1.8019	3.1400	17.381	557.47
9	1.6828	3.1400	17.381	553.64
10	1.5738	3.1400	17.381	549.64
11	1.4787	3.1400	17.381	545.74
12	1.3880	3.1400	17.382	541.84
13	1.3027	3.1400	17.382	533.69
14	1.2863	3.1400	17.382	529.12
15	1.2596	3.1400	17.383	514.85
16	1.2487	3.1400	17.384	505.50
17	1.2328	3.1400	17.384	490.91
18	1.2197	3.1400	17.385	476.52
19	1.2071	3.1400	17.385	462.48
20	1.1947	3.1400	17.386	447.78
21	1.1836	3.1400	17.387	433.32
22	1.1735	3.1400	17.387	419.11
23	1.1640	3.1400	17.388	405.17
24	1.1530	3.1400	17.388	390.60
25	1.1423	3.1400	17.389	376.33
26	1.1310	3.1400	17.390	362.35
27	1.1190	3.1400	17.390	348.74
28	1.1002	3.1400	17.392	334.76
29	1.0669	3.1400	17.392	321.50
30	1.0066	3.1400	17.393	312.80
31	9.8185E-1	3.1400	17.393	308.35
32	9.5643E-1	3.1400	17.393	294.49
33	9.4741E-1	3.1400	17.394	280.77
34	9.4126E-1	3.1400	17.395	266.90
35	9.3618E-1	3.1400	17.395	253.08
36	9.3169E-1	3.1400	17.396	239.32
37	9.2696E-1	3.1400	17.397	225.71
38	9.2301E-1	3.1400	17.397	212.19
39	9.1838E-1	3.1400	17.398	198.78
40	9.1294E-1	3.1400	17.398	185.47
41	9.0607E-1	3.1400	17.399	172.31
42	9.0064E-1	3.1400	17.399	163.68
43	8.8683E-1	3.1400	17.400	151.06
44	8.4816E-1	3.1400	17.401	139.06
45	7.7315E-1	3.1400	17.402	131.88
46	6.8571E-1	3.1400	17.403	125.54
47	6.0892E-1	3.1400	17.403	119.92
48	5.7663E-1	3.1400	17.403	117.31
49	5.4742E-1	3.1400	17.404	114.84
50	4.9625E-1	3.1400	17.404	110.28
51	4.5384E-1	3.1400	17.405	106.10
52	4.1854E-1	3.1400	17.405	102.26
53	3.7375E-1	3.1400	17.405	97.018
54	3.2593E-1	3.1400	17.406	90.855
55	2.8615E-1	3.1400	17.407	85.492
56	2.4657E-1	3.1400	17.408	79.677
57	2.0409E-1	3.1400	17.409	70.885
58	1.7813E-1	3.1400	17.410	60.850
59	1.6176E-1	3.1400	17.410	51.882
60	1.4387E-1	3.1400	17.412	41.826
61	1.1733E-1	3.1400	17.414	31.655
62	7.2482E-2	3.1400	17.416	23.820
63	2.7866E-2	3.1400	17.423	18.712
0	0	0	0	0
