====================
 System property BELSORP-max Ver1.3.2t
====================
"Instrument S/N:"	00348
"Vs/ml:"	24.438
=======================
 Measurement condition
=======================
"Adsorptive:"	Acetone
"Meas. Temp./K:"	298.00
"Molecular cross-sectional area:"	0
"Molecular weight of adsorbate:"	0.00
"Equilibrium time/sec:"	0
"Measurement mode:"	1
====================
 Sample information
====================
"Sample weight/g:"	0.08570
"Comment1:"	"DUT-67Zr_acetone"
"Comment2:"	"Volodymyr"
"Comment3:"	""
"Comment4:"	"Leak amount : 0.248Pa/Min, Vacuum degree before measurement:1.166E-4Pa"
"as/m2 g-1:"	0.0000
"Molecular weight of adsorbent:"	0.00
====================
 Time and dead volume
====================
"Date of measurement:"	17/05/19
"Time of measurement:"	47:49:51
"Slope of dead volume:"	-3.9299E-8
"Intercept of dead volume:"	1.8013E+1
"Average dead volume:"	1.8011E+1
====================
 Adsorption data
====================
"No."	"Pe/kPa"	"P0/kPa"	"Vd/ml"	"V/ml(STP) g-1"
1	5.7686E-3	30.500	18.008	10.265
2	4.1827E-2	30.500	18.010	23.485
3	2.1167E-1	30.500	18.011	38.256
4	4.8825E-1	30.500	18.012	51.086
5	6.4522E-1	30.500	18.013	62.372
6	7.3888E-1	30.500	18.014	73.226
7	8.3979E-1	30.500	18.015	83.417
8	1.1822	30.500	18.017	96.628
9	1.9022	30.500	18.018	105.35
10	2.5560	30.500	18.019	109.03
11	3.3866	30.500	18.019	111.98
12	4.2417	30.500	18.019	114.14
13	6.0656	30.500	18.021	117.75
14	8.1363	30.500	18.022	121.22
15	10.178	30.500	18.025	124.70
16	12.358	30.500	18.029	128.81
17	14.403	30.500	18.032	133.05
18	16.114	30.500	18.036	138.53
19	18.078	30.500	18.038	144.00
20	20.127	30.500	18.040	150.29
21	21.922	30.500	18.043	155.93
22	23.631	30.500	18.045	161.03
23	26.017	30.500	18.047	167.20
24	28.376	30.500	18.048	172.70
0	0	0	0	0
====================
 Desorption data
====================
"No."	"Pe/kPa"	"P0/kPa"	"Vd/ml"	"V/ml(STP) g-1"
1	25.298	30.500	18.048	168.65
2	22.532	30.500	18.049	165.06
3	20.263	30.500	18.051	161.13
4	18.341	30.500	18.052	157.61
5	16.514	30.500	18.055	154.40
6	14.780	30.500	18.056	151.40
7	13.065	30.500	18.059	148.53
8	11.385	30.500	18.061	145.69
9	9.9932	30.500	18.063	143.36
10	8.4527	30.500	18.065	140.68
11	7.1622	30.500	18.067	138.35
12	6.0766	30.500	18.070	135.95
13	4.6336	30.500	18.073	131.79
14	3.8359	30.500	18.075	129.32
15	2.8821	30.500	18.077	126.21
16	2.2279	30.500	18.078	123.35
17	1.8083	30.500	18.079	120.67
18	1.3537	30.500	18.080	116.25
19	9.3660E-1	30.500	18.080	107.78
20	8.9795E-1	30.500	18.081	106.32
21	7.2440E-1	30.500	18.081	95.620
22	6.2268E-1	30.500	18.082	84.709
23	5.0826E-1	30.500	18.084	73.958
24	3.2862E-1	30.500	18.086	63.507
25	3.1344E-1	30.500	18.086	62.639
0	0	0	0	0
