====================
 System property BELSORP-max Ver1.3.2t
====================
"Instrument S/N:"	00348
"Vs/ml:"	24.438
=======================
 Measurement condition
=======================
"Adsorptive:"	H2O
"Meas. Temp./K:"	298.00
"Molecular cross-sectional area:"	0
"Molecular weight of adsorbate:"	0.00
"Equilibrium time/sec:"	0
"Measurement mode:"	1
====================
 Sample information
====================
"Sample weight/g:"	0.08570
"Comment1:"	"DUT-67Zr_wasser"
"Comment2:"	"Volodymyr"
"Comment3:"	""
"Comment4:"	"Leak amount : 0.206Pa/Min, Vacuum degree before measurement:1.211E-4Pa"
"as/m2 g-1:"	0.0000
"Molecular weight of adsorbent:"	0.00
====================
 Time and dead volume
====================
"Date of measurement:"	17/05/23
"Time of measurement:"	73:52:37
"Slope of dead volume:"	3.1910E-7
"Intercept of dead volume:"	1.7984E+1
"Average dead volume:"	1.8004E+1
====================
 Adsorption data
====================
"No."	"Pe/kPa"	"P0/kPa"	"Vd/ml"	"V/ml(STP) g-1"
1	6.7106E-3	3.1400	17.995	3.6371
2	6.1107E-2	3.1400	17.998	14.808
3	1.2128E-1	3.1400	17.999	25.935
4	1.5938E-1	3.1400	18.001	37.218
5	1.9269E-1	3.1400	18.002	48.253
6	2.3896E-1	3.1400	18.003	59.527
7	3.0744E-1	3.1400	18.004	70.820
8	3.8689E-1	3.1400	18.005	82.005
9	4.4231E-1	3.1400	18.005	89.498
10	5.0088E-1	3.1400	18.006	97.029
11	5.6385E-1	3.1400	18.008	104.63
12	5.9709E-1	3.1400	18.008	108.48
13	6.7216E-1	3.1400	18.009	116.19
14	7.1223E-1	3.1400	18.010	120.09
15	8.0167E-1	3.1400	18.011	127.85
16	8.4719E-1	3.1400	18.011	131.79
17	8.9030E-1	3.1400	18.012	135.79
18	9.4779E-1	3.1400	18.013	147.98
19	9.6777E-1	3.1400	18.014	160.58
20	9.7940E-1	3.1400	18.015	173.08
21	9.8814E-1	3.1400	18.017	185.40
22	9.9668E-1	3.1400	18.018	198.23
23	1.0044	3.1400	18.019	211.11
24	1.0120	3.1400	18.020	223.81
25	1.0200	3.1400	18.021	236.39
26	1.0296	3.1400	18.022	248.95
27	1.0417	3.1400	18.023	261.32
28	1.0568	3.1400	18.024	273.56
29	1.0849	3.1400	18.025	286.20
30	1.1311	3.1400	18.027	294.36
31	1.2058	3.1400	18.027	302.59
32	1.2377	3.1400	18.028	311.01
33	1.2625	3.1400	18.029	324.21
34	1.2695	3.1400	18.030	336.98
35	1.2943	3.1400	18.030	349.61
36	1.3155	3.1400	18.031	362.63
37	1.3395	3.1400	18.031	376.07
38	1.3594	3.1400	18.033	389.29
39	1.3830	3.1400	18.034	402.35
40	1.4070	3.1400	18.034	415.14
41	1.4318	3.1400	18.036	428.22
42	1.4619	3.1400	18.036	440.73
43	1.4952	3.1400	18.037	453.83
44	1.5261	3.1400	18.038	462.38
45	1.5968	3.1400	18.038	475.35
46	1.6424	3.1400	18.039	479.65
47	1.7148	3.1400	18.040	483.92
48	1.7916	3.1400	18.040	488.24
49	1.8562	3.1400	18.041	492.44
50	1.9262	3.1400	18.041	496.59
51	2.0107	3.1400	18.041	500.56
52	2.1059	3.1400	18.042	504.33
53	2.2051	3.1400	18.043	507.91
54	2.3100	3.1400	18.044	511.30
55	2.4222	3.1400	18.044	514.52
56	2.5336	3.1400	18.044	517.51
57	2.6552	3.1400	18.045	520.23
58	2.7759	3.1400	18.045	522.75
59	2.8938	3.1400	18.046	525.06
0	0	0	0	0
====================
 Desorption data
====================
"No."	"Pe/kPa"	"P0/kPa"	"Vd/ml"	"V/ml(STP) g-1"
1	2.5792	3.1400	18.046	521.21
2	2.3360	3.1400	18.047	517.29
3	2.1425	3.1400	18.047	513.57
4	1.9835	3.1400	18.048	510.10
5	1.8542	3.1400	18.049	506.86
6	1.7461	3.1400	18.049	503.81
7	1.6546	3.1400	18.050	500.93
8	1.5444	3.1400	18.051	495.33
9	1.4655	3.1400	18.051	484.42
10	1.4249	3.1400	18.052	473.95
11	1.3948	3.1400	18.053	463.82
12	1.3663	3.1400	18.054	453.76
13	1.3379	3.1400	18.055	441.67
14	1.3126	3.1400	18.056	429.82
15	1.3084	3.1400	18.057	418.19
16	1.2963	3.1400	18.059	408.96
17	1.2793	3.1400	18.060	397.52
18	1.2642	3.1400	18.060	386.37
19	1.2496	3.1400	18.061	375.24
20	1.2357	3.1400	18.062	364.38
21	1.2322	3.1400	18.063	359.98
22	1.2168	3.1400	18.064	349.31
23	1.2030	3.1400	18.064	338.79
24	1.1883	3.1400	18.065	328.42
25	1.1679	3.1400	18.066	318.21
26	1.0988	3.1400	18.067	306.59
27	1.0403	3.1400	18.068	297.54
28	1.0132	3.1400	18.069	287.03
29	9.9901E-1	3.1400	18.070	276.67
30	9.8897E-1	3.1400	18.071	266.44
31	9.8188E-1	3.1400	18.072	256.30
32	9.8117E-1	3.1400	18.072	254.61
33	9.7228E-1	3.1400	18.073	242.90
34	9.6529E-1	3.1400	18.075	231.27
35	9.5898E-1	3.1400	18.076	219.74
36	9.5296E-1	3.1400	18.077	208.31
37	9.4719E-1	3.1400	18.077	196.92
38	9.4054E-1	3.1400	18.078	185.60
39	9.3258E-1	3.1400	18.079	174.43
40	9.2136E-1	3.1400	18.080	163.45
41	9.1553E-1	3.1400	18.081	158.78
42	8.7600E-1	3.1400	18.082	148.29
43	8.5151E-1	3.1400	18.083	145.42
44	7.8751E-1	3.1400	18.084	140.06
45	7.2338E-1	3.1400	18.084	135.10
46	6.5519E-1	3.1400	18.085	129.53
47	5.9774E-1	3.1400	18.086	124.50
48	5.3436E-1	3.1400	18.088	118.19
49	4.7634E-1	3.1400	18.088	111.75
50	4.7082E-1	3.1400	18.088	111.00
51	4.1047E-1	3.1400	18.090	103.35
52	3.4920E-1	3.1400	18.092	95.037
53	2.8492E-1	3.1400	18.094	85.689
54	2.2538E-1	3.1400	18.096	75.616
55	2.2118E-1	3.1400	18.097	74.591
56	1.8251E-1	3.1400	18.100	64.313
57	1.5921E-1	3.1400	18.104	55.548
58	1.3231E-1	3.1400	18.107	45.537
59	9.6850E-2	3.1400	18.112	36.565
60	9.4334E-2	3.1400	18.114	36.019
61	3.4193E-2	3.1400	18.125	26.719
62	3.1327E-2	3.1400	18.129	26.226
0	0	0	0	0
