File Name,RGE-343-DUT32-7dCO2_Nitrogen.DAT
Date of measurement,13/01/30
Time of measurement,39:37:15
COMMENT1,RGE-343_DUT-32-7d
COMMENT2,irena
COMMENT3,
COMMENT4,, Vacuum degree before measurement:1.060E-1Pa
Serial number,00218
Version,
Sample weight,1.8400E-02,[g]
Standard volume,27.698,[cm^3]
Dead volume,25.013,[cm^3]
Equilibrium time,0,[SEC]
Adsorptive,N2
Apparatus temperature,0.0000,[C]
Adsorption temperature,77.000,[K]
Saturated vapor pressure,101.33,[kPa]
Adsorptive cross section area,0.1620,[nm^2]
File name of wall adsorption,
Wall adsorption correction value1,
Wall adsorption correction value2,
Number of adsorption data point :,293
Number of desorption data point :,4

No,pi/kPa,pe/kPa,pe2/kPa,p0/kPa,p/p0,Va/cm^3(STP) g^-1
ADS
1,0.0000,3.1344E-02,0.0000,101.33,3.0933E-04,4.9793E-02
2,0.0000,4.4860E-02,0.0000,101.33,4.4271E-04,9.2600
3,0.0000,5.1619E-02,0.0000,101.33,5.0941E-04,18.612
4,0.0000,5.8377E-02,0.0000,101.33,5.7611E-04,28.018
5,0.0000,6.8619E-02,0.0000,101.33,6.7718E-04,75.538
6,0.0000,9.2837E-02,0.0000,101.33,9.1618E-04,84.277
7,0.0000,0.1130,0.0000,101.33,1.1154E-03,93.007
8,0.0000,0.1332,0.0000,101.33,1.3145E-03,101.80
9,0.0000,0.1615,0.0000,101.33,1.5934E-03,110.38
10,0.0000,0.1937,0.0000,101.33,1.9121E-03,118.93
11,0.0000,0.2180,0.0000,101.33,2.1511E-03,127.79
12,0.0000,0.2503,0.0000,101.33,2.4698E-03,136.22
13,0.0000,0.2745,0.0000,101.33,2.7088E-03,144.83
14,0.0000,0.3027,0.0000,101.33,2.9876E-03,153.44
15,0.0000,0.3391,0.0000,101.33,3.3461E-03,161.89
16,0.0000,0.3592,0.0000,101.33,3.5452E-03,170.53
17,0.0000,0.3915,0.0000,101.33,3.8639E-03,178.90
18,0.0000,0.4238,0.0000,101.33,4.1826E-03,187.32
19,0.0000,0.4601,0.0000,101.33,4.5411E-03,195.68
20,0.0000,0.4803,0.0000,101.33,4.7403E-03,204.21
21,0.0000,0.5207,0.0000,101.33,5.1387E-03,213.12
22,0.0000,0.5490,0.0000,101.33,5.4174E-03,222.25
23,0.0000,0.5812,0.0000,101.33,5.7361E-03,231.01
24,0.0000,0.6095,0.0000,101.33,6.0150E-03,239.50
25,0.0000,0.6418,0.0000,101.33,6.3337E-03,247.85
26,0.0000,0.6700,0.0000,101.33,6.6125E-03,256.35
27,0.0000,0.7023,0.0000,101.33,6.9311E-03,265.01
28,0.0000,0.7387,0.0000,101.33,7.2896E-03,273.52
29,0.0000,0.7588,0.0000,101.33,7.4888E-03,282.23
30,0.0000,0.7871,0.0000,101.33,7.7677E-03,290.68
31,0.0000,0.8275,0.0000,101.33,8.1660E-03,298.92
32,0.0000,0.8517,0.0000,101.33,8.4050E-03,307.50
33,0.0000,0.8840,0.0000,101.33,8.7237E-03,315.89
34,0.0000,0.9163,0.0000,101.33,9.0423E-03,324.58
35,0.0000,0.9405,0.0000,101.33,9.2814E-03,333.19
36,0.0000,0.9768,0.0000,101.33,9.6399E-03,341.76
37,0.0000,1.0010,0.0000,101.33,9.8786E-03,350.28
38,0.0000,1.0333,0.0000,101.33,1.0197E-02,358.89
39,0.0000,1.0696,0.0000,101.33,1.0556E-02,367.42
40,0.0000,1.1019,0.0000,101.33,1.0874E-02,376.02
41,0.0000,1.1342,0.0000,101.33,1.1193E-02,383.69
42,0.0000,1.1625,0.0000,101.33,1.1472E-02,391.42
43,0.0000,1.1988,0.0000,101.33,1.1831E-02,398.78
44,0.0000,1.2351,0.0000,101.33,1.2189E-02,406.41
45,0.0000,1.2637,0.0000,101.33,1.2471E-02,413.87
46,0.0000,1.3124,0.0000,101.33,1.2952E-02,421.00
47,0.0000,1.3287,0.0000,101.33,1.3113E-02,428.80
