====================
 System property BELSORP-max Ver1.3.12
====================
"Instrument S/N:"	00348
"Vs/ml:"	24.438
=======================
 Measurement condition
=======================
"Adsorptive:"	C2H5OH
"Meas. Temp./K:"	298.00
"Molecular cross-sectional area:"	0
"Molecular weight of adsorbate:"	0.00
"Equilibrium time/sec:"	0
"Measurement mode:"	1
====================
 Sample information
====================
"Sample weight/g:"	0.02460
"Comment1:"	"LA-133_DUT-8(Zn)_isp_cp_EtOH_298K"
"Comment2:"	"Leila"
"Comment3:"	""
"Comment4:"	", Vacuum degree before measurement:8.519E-5Pa"
"as/m2 g-1:"	0.0000
"Molecular weight of adsorbent:"	0.00
====================
 Time and dead volume
====================
"Date of measurement:"	20/10/19
"Time of measurement:"	44:54:14
"Slope of dead volume:"	4.1178E-7
"Intercept of dead volume:"	1.8120E+1
"Average dead volume:"	1.8147E+1
====================
 Adsorption data
====================
"No."	"Pe/kPa"	"P0/kPa"	"Vd/ml"	"V/ml(STP) g-1"
1	1.9945E-3	7.7000	18.143	-7.8034E-3
2	2.3801E-1	7.7000	18.144	1.1631
3	5.9687E-1	7.7000	18.144	1.8710
4	1.0656	7.7000	18.143	2.5434
5	1.9405	7.7000	18.141	3.5961
6	2.9711	7.7000	18.139	4.7000
7	4.2908	7.7000	18.136	6.3256
8	5.7032	7.7000	18.132	9.4354
9	6.0951	7.7000	18.132	39.440
10	6.1793	7.7000	18.133	69.495
11	6.2789	7.7000	18.134	98.080
12	6.3927	7.7000	18.135	125.39
13	6.5110	7.7000	18.135	151.08
14	6.6346	7.7000	18.136	175.23
15	6.8001	7.7000	18.136	203.45
16	6.9745	7.7000	18.137	229.77
17	7.1290	7.7000	18.138	253.96
18	7.2550	7.7000	18.138	276.27
19	7.4351	7.7000	18.139	296.53
0	0	0	0	0
====================
 Desorption data
====================
"No."	"Pe/kPa"	"P0/kPa"	"Vd/ml"	"V/ml(STP) g-1"
1	6.9111	7.7000	18.141	293.60
2	5.8796	7.7000	18.145	286.96
3	4.9299	7.7000	18.149	279.73
4	4.1721	7.7000	18.152	271.25
5	3.4163	7.7000	18.155	262.46
6	2.8374	7.7000	18.158	255.44
7	2.3344	7.7000	18.160	247.89
8	1.9328	7.7000	18.162	240.05
9	1.6100	7.7000	18.164	233.55
10	1.3136	7.7000	18.166	227.95
11	1.0705	7.7000	18.168	218.16
12	9.8202E-1	7.7000	18.169	213.90
13	8.7430E-1	7.7000	18.171	206.13
14	7.4340E-1	7.7000	18.173	195.96
15	7.1286E-1	7.7000	18.175	184.21
16	6.4378E-1	7.7000	18.177	172.98
17	5.8136E-1	7.7000	18.182	162.96
18	5.5368E-1	7.7000	18.185	151.59
19	5.2315E-1	7.7000	18.189	140.46
20	4.8497E-1	7.7000	18.193	130.40
21	4.3684E-1	7.7000	18.197	118.87
22	3.9802E-1	7.7000	18.200	111.96
23	3.6784E-1	7.7000	18.201	108.85
24	3.3544E-1	7.7000	18.201	106.01
25	2.9902E-1	7.7000	18.203	96.902
26	2.7728E-1	7.7000	18.203	85.950
27	2.6424E-1	7.7000	18.203	81.422
28	2.3607E-1	7.7000	18.203	74.200
29	2.1067E-1	7.7000	18.203	68.737
30	1.8600E-1	7.7000	18.204	63.949
31	1.6694E-1	7.7000	18.204	60.421
32	1.4644E-1	7.7000	18.205	56.705
33	1.3148E-1	7.7000	18.205	53.981
34	1.1844E-1	7.7000	18.206	51.563
35	1.0471E-1	7.7000	18.207	49.002
0	0	0	0	0
