                      Quantachrome QuadraWin - Data Acquisition and Reduction
                                         for QuadraSorb SI
                      ©2000-11, Quantachrome Instruments. All rights reserved.
                                            version 5.05

Analysis                                          Report
Operator:      service        Date:12/21/2018     Operator: service             Date:2021/02/12
Sample ID:     BF001_80p_N2_77     Filename:      BF001.QPS
Sample Desc:                       Comment:
Sample weight: 0.0101 g
Analysis Time: 1056.9 min          End of run:    12/21/2018 11:11:37 Instrument:    QuadraSorb Station 1
Void Vol.:     He Mode.Cell: 9mm small bulbRun modeStandard           Instrument version:5.04
Outgas Time:   0.0 hrs             OutgasTemp:    0.0 C
Analysis gas:  Nitrogen            Bath Temp:     77.3 K
Press. Tolerance:variable/variable (ads/des)Equil time:300/300 sec (ads/des)Equil timeout:600/600 sec (ads/des)

      Press            P0         Volume @ STP         Tol           TimeOut      EquLibration

      mmHg            mmHg             cc                              sec

       1.06          764.44            1.1352          0.00          600             300
       1.62          764.44            1.3858          0.00          600             300
       2.49          764.44            1.7488          0.00          600             300
       2.98          764.44            1.9675          0.00          600             300
       4.06          764.44            2.4531          0.00          600             300
       5.63          764.44            3.2815          0.00          600             300
       8.31          764.44            4.0705          0.00          600             300
       9.49          764.44            4.2265          0.00          600             300
      12.12          764.44            4.4450          0.00          600             300
      25.04          764.44            4.8660          0.00          600             300
      30.49          764.44            4.9620          0.00          600             300
      36.56          764.44            5.0752          0.00          600             300
      44.19          764.44            5.2688          0.00          600             300
      56.35          764.44            5.4290          0.00          600             300
      63.91          764.44            5.5055          0.00          600             300
      72.56          764.44            5.5785          0.00          600             300
      80.38          764.44            5.6367          0.00          600             300
      88.66          764.44            5.6979          0.00          600             300
      93.22          764.44            5.7349          0.00          600             300
     104.36          764.44            5.8200          0.00          600             300
     113.59          764.44            5.9014          0.00          600             300
     116.42          764.44            5.9391          0.05          600             300
     121.37          764.44            5.9924          0.00          600             300
     130.35          764.44            6.0964          0.00          600             300
     136.74          764.44            6.1940          0.00          600             300
     144.60          764.44            6.3352          0.00          600             300
     149.44          764.44            6.4539          0.00          600             300
     189.22          764.44            8.2482          0.05          600             300
     227.81          764.44           10.1578          0.05          600             300
     267.09          764.44           11.1754          0.05          600             300
     305.78          764.44           11.6738          0.05          600             300
     341.66          764.44           11.9883          0.05          600             300
     380.16          764.44           12.2301          0.05          600             300
     418.97          764.44           12.4159          0.05          600             300
     457.54          764.44           12.6085          0.05          600             300
     495.75          764.44           12.7300          0.05          600             300
     535.35          764.44           12.8517          0.05          600             300
     572.51          764.44           12.9500          0.05          600             300
     612.46          764.44           13.0532          0.05          600             300
     690.38          764.44           13.2332          0.05          600             300
     698.14          764.44           13.2471          0.05          600             300
     728.35          764.44           13.3198          0.05          600             300
     740.87          764.44           13.3526          0.05          600             300
     715.88          764.44           13.3286          0.05          600             300
     680.09          764.44           13.2816          0.05          600             300
     639.72          764.44           13.2243          0.05          600             300
     603.80          764.44           13.1760          0.05          600             300
     566.75          764.44           13.1279          0.05          600             300
     527.43          764.44           13.0668          0.05          600             300
     489.16          764.44           13.0103          0.05          600             300
     451.51          764.44           12.9483          0.05          600             300
     430.50          764.44           12.9063          0.05          600             300
     409.27          764.44           12.8628          0.05          600             300
     389.38          764.44           12.8269          0.05          600             300
     369.39          764.44           12.7826          0.05          600             300
     350.73          764.44           12.7419          0.05          600             300
     335.04          764.44           12.7072          0.05          600             300
     315.31          764.44           12.6600          0.05          600             300
     298.10          764.44           12.6139          0.05          600             300
     275.19          764.44           12.5491          0.05          600             300
     258.52          764.44           12.5000          0.05          600             300
     237.13          764.44           12.4288          0.05          600             300
     222.25          764.44           12.3732          0.05          600             300
     203.72          764.44           12.3024          0.05          600             300
     183.05          764.44           12.2157          0.05          600             300
     160.28          764.44           12.0959          0.05          600             300
     154.99          764.44           12.0604          0.05          600             300
     129.62          764.44           11.8900          0.05          600             300
     107.13          764.44           11.6870          0.05          600             300
      90.48          764.44           11.4769          0.05          600             300
      74.07          764.44           11.1719          0.00          600             300
      60.89          764.44           10.5952          0.00          600             300
      35.88          764.44            5.3424          0.00          600             300
      21.10          764.44            4.7301          0.00          600             300
       7.13          764.44            4.0661          0.00          600             300
       5.32          764.44            3.9165          0.00          600             300
       3.48          764.44            3.7296          0.00          600             300
       1.50          764.44            3.4341          0.00          600             300
       1.04          764.44            3.3226          0.00          600             300
       1.01          764.44            3.3171          0.00          600             300
       0.98          764.44            3.3101          0.00          600             300
       0.98          764.44            3.3049          0.00          600             300
