                        Quantachrome® ASiQwin™- Automated Gas Sorption Data
                                     Acquisition and Reduction
                               © 1994-2012, Quantachrome Instruments
                                            version 3.0

Analysis                                          Report
Operator:                     Date:06/10/2010 09:47Operator:ir                  Date:2020/05/06
Sample ID:     nk_Cu(bipy)(btb)_10-11_DMF-EtOH_CO2_84Pkt_N2Filename:  NK_CU(BIPY)(BTB)_10-11_DMF-ETOH_CO2_84PKT_N2_N2.drf
Sample Desc:   nk_Cu(bipy)(btb)_10-11_DMF-EtOH_CO2_84PktComment:
Outgas Time:   1.0 hrs             Outgas Temp:   100.0 °C            Sample Weight: 0.0279 g
Analysis gas:  Nitrogen            Molec. Wt:     0 g                 Non-ideality:  0 1/Torr
Analysis Time: n/a                 Instrument:    Autosorb Station 1  Bath temp.:    77.35 K

      Press            P0         Volume @ STP        Time             Tol             Equ

      Torr            Torr             cc              min

       0.764796      757.80            3.68786       277.8             5               2
       1.51504       757.31            6.13311       454.2             5               2
       2.27804       757.10           10.2201        630.6             5               2
       3.03311       756.90           13.6852        774.3             5               2
       3.78743       756.90           15.9369        876.8             5               5
       4.55413       756.67           17.3649        956.4             5               3
       5.33445       756.59           18.306        1012.8             5               3
       6.0915        756.28           19.0531       1062.8             5               3
       6.82528       755.84           19.5802       1096.2             5               3
       7.60167       756.17           20.059        1127.5             4               5
       9.12008       756.24           20.8676       1135.0             5               5
      16.3611        755.65           23.6296       1145.0             3               5
      25.0209        755.96           26.8661       1153.5             5               5
      37.8026        755.83           30.5654       1163.5             3               5
      49.505         755.95           32.0451       1171.6             5               5
      57.267         755.80           32.5097       1178.5             3               5
      70.3404        755.56           33.0217       1185.3             5               5
      79.667         755.67           33.29         1191.9             3               5
      96.4782        755.15           33.6659       1198.7             3               5
     114.879         755.15           34.0548       1206.8             3               5
     135.644         755.33           34.3499       1213.5             3               5
     155.74          755.64           34.5808       1219.1             3               4
     175.397         755.74           34.7729       1224.4             3               4
     194.638         755.45           34.9381       1229.8             3               4
     213.877         755.37           35.0816       1235.0             3               4
     233.145         755.72           35.2089       1240.3             3               4
     252.17          754.99           35.3245       1245.5             3               4
     271.165         755.03           35.4272       1250.6             3               4
     290.201         755.05           35.5215       1255.6             3               4
     309.289         755.41           35.6072       1260.7             3               4
     328.337         755.31           35.6868       1265.8             3               4
     347.327         755.09           35.761        1270.9             3               4
     366.198         755.31           35.8276       1276.0             3               4
     385.367         755.22           35.8921       1281.1             3               4
     421.738         755.41           36.0054       1286.3             3               4
     459.483         755.90           36.1135       1291.5             3               4
     497.477         755.59           36.2142       1296.7             3               4
     535.332         756.06           36.3074       1301.9             3               4
     573.461         755.88           36.3933       1307.1             3               4
     611.228         755.63           36.4696       1312.3             3               4
     648.576         755.92           36.5387       1317.6             3               4
     686.525         756.00           36.6096       1322.9             3               4
     723.802         755.88           36.6897       1328.2             3               4
     743.73          755.27           36.7691       1333.5             3               4
     752.151         755.56           36.9046       1339.5             3               4
     711.156         755.80           36.6626       1346.5             3               4
     672.68          755.19           36.5837       1353.3             3               4
     634.218         755.41           36.5121       1360.1             3               4
     596.443         755.32           36.4397       1366.9             3               4
     558.583         755.02           36.3598       1373.7             3               4
     520.841         755.34           36.2717       1380.4             3               4
     483.189         755.98           36.1764       1387.0             3               4
     445.757         755.22           36.0742       1393.7             3               4
     405.149         755.58           36.0032       1402.7             3               4
     369.746         755.67           35.8795       1409.3             3               4
     351.755         755.75           35.7994       1414.8             3               4
     313.724         756.07           35.6273       1421.4             3               4
     295.211         755.92           35.544        1426.9             3               4
     276.316         755.67           35.4527       1432.4             3               4
     257.572         755.71           35.3537       1437.9             3               4
     238.822         756.02           35.2434       1443.3             3               4
     220.086         756.65           35.1226       1448.8             3               4
     201.543         756.38           34.9896       1454.3             3               4
     182.943         756.55           34.8376       1459.7             3               4
     145.68          756.09           34.4652       1466.3             3               4
     127.545         756.83           34.2348       1471.8             3               4
     109.532         756.39           33.9418       1477.3             3               4
      74.5821        756.51           33.1569       1484.2             3               4
      66.6481        756.94           32.8919       1495.4             5               4
      53.7063        756.41           32.305        1507.9             3               4
      49.5779        757.08           32.0494       1516.9             5               4
      39.2937        757.19           30.8354       1540.1             3               4
      32.3527        756.96           29.076        1568.9             5               4
      21.5076        757.72           25.6183       1636.7             3               4
      13.9831        757.08           22.7284       1719.8             5               4
       7.4521        756.47           20.0337       1854.7             4               4
