                        Quantachrome® ASiQwin™- Automated Gas Sorption Data
                                     Acquisition and Reduction
                               © 1994-2012, Quantachrome Instruments
                                            version 3.0

Analysis                                          Report
Operator:      Nicole         Date:09/17/2009 19:56Operator:ir                  Date:2020/05/06
Sample ID:     nk_DUT-6_LP_N2_114pktFilename:     NK_DUT-6_LP_N2_114PKT.raw
Sample Desc:   nk_DUT-6_LP_N2_114pktComment:
Outgas Time:   24.0 hrs            Outgas Temp:   120.0 °C            Sample Weight: 0.0339 g
Analysis gas:  Nitrogen            Molec. Wt:     28.0134 g           Non-ideality:  6.58e-05 1/Torr
Analysis Time: 2070.6 min          Instrument:    Autosorb Station 1  Bath temp.:    77.3 K

      Press            P0         Volume @ STP        Time             Tol             Equ

      Torr            Torr             cc              min

       0.00202042    764.02            0.004927        0.0             5               2
       0.00204585    764.02            0.006244        0.0             5               2
       0.00205131    764.02            0.007544        0.0             5               2
       0.00207502    764.02            0.008859        0.0             5               2
       0.00209944    764.02            0.02191         0.0             5               2
       0.00220469    764.02            0.026713        0.0             5               2
       0.00236362    764.02            0.032022        0.0             5               2
       0.0023736     764.02            0.035899        0.0             5               2
       0.00241757    764.02            0.037188        0.0             5               2
       0.00244495    764.02            0.038478        0.0             5               2
       0.00249158    764.02            0.039768        0.0             5               2
       0.00250007    764.02            0.041058        0.0             5               2
       0.00253589    764.02            0.042349        0.0             5               2
       0.00257878    764.02            0.043634        0.0             5               2
       0.00260701    764.02            0.044922        0.0             5               2
       0.00265622    764.02            0.046212        0.0             5               2
       0.00316571    764.02            0.055379        0.0             5               2
       0.00393819    764.02            0.067638        0.0             5               2
       0.00488041    764.02            0.08627         0.0             5               2
       0.00611023    764.02            0.11065         0.0             5               2
       0.00770117    764.02            0.158006        0.0             5               2
       0.00966248    764.02            0.191551        0.0             5               2
       0.0121274     764.02            0.243326        0.0             5               2
       0.0152428     764.02            0.307212        0.0             5               2
       0.0192357     764.02            0.389815        0.0             5               2
       0.0242091     764.02            0.481359        0.0             5               2
       0.0304289     764.02            0.589158        0.0             5               2
       0.0384337     764.02            0.720579        0.0             5               2
       0.0529177     764.02            0.924755        0.0             5               2
       0.0649467     764.02            1.08308         0.0             5               2
       0.0729627     764.02            1.17571         0.0             5               2
       0.0931424     764.02            1.39607         0.0             5               2
       0.117951      764.02            1.62541         0.0             5               2
       0.149129      764.02            1.86346         0.0             5               2
       0.188433      764.02            2.10739         0.0             5               2
       0.23911       764.02            2.36119         0.0             5               2
       0.304985      764.02            2.62694         0.0             5               2
       0.382857      764.02            2.88028         0.0             5               2
       0.485641      764.02            3.15606         0.0             5               2
       0.604655      764.02            3.4276          0.0             5               2
       0.7633        764.02            3.80761         0.0             5               2
       0.961343      764.02            4.17704         0.0             5               2
       1.21612       764.02            4.63927         0.0             5               2
       1.53198       764.02            5.17834         0.0             5               2
       1.91978       764.02            5.85459         0.0             5               2
       2.41631       764.02            6.70003         0.0             5               2
       3.05299       764.02            7.79671         0.0             5               2
       3.83117       764.02            9.22235         0.0             5               2
       4.85147       764.02           11.1943          0.0             5               2
       6.10258       764.02           13.879           0.0             5               2
       6.15474       764.02           14.0069          0.0             5               2
       6.25204       764.02           14.2324          0.0             5               2
       7.89477       764.02           18.282           0.0             5               2
      11.1794        764.02           22.4011          0.0             5               2
      15.4901        764.02           24.6544          0.0             5               2
      22.1953        764.02           26.6166          0.0             5               2
      30.4033        764.02           28.3442          0.0             5               2
      39.2116        764.02           29.9443          0.0             5               2
      48.4632        764.02           31.5887          0.0             5               2
      56.7182        764.02           33.4023          0.0             3               2
      59.3675        764.02           34.2388          0.0             5               2
      76.0247        764.02           39.4413          0.0             3               2
      96.4361        764.02           40.5721          0.0             3               2
     114.664         764.02           41.0441          0.0             3               2
     135.341         764.02           41.4291          0.0             3               2
     156.04          764.02           41.7294          0.0             3               2
     191.994         764.02           42.1272          0.0             3               2
     231.354         764.02           42.4597          0.0             3               2
     270.747         764.02           42.7211          0.0             3               2
     309.796         764.02           42.9319          0.0             3               2
     348.506         764.02           43.1084          0.0             3               2
     387.059         764.02           43.2592          0.0             3               2
     425.566         764.02           43.3907          0.0             3               2
     463.903         764.02           43.5037          0.0             3               2
     502.355         764.02           43.6032          0.0             3               2
     540.76          764.02           43.6922          0.0             3               2
     578.989         764.02           43.7731          0.0             3               2
     617.288         764.02           43.8413          0.0             3               2
     655.401         764.02           43.9051          0.0             3               2
     693.634         764.02           43.9619          0.0             3               2
     731.879         764.02           44.0149          0.0             3               2
     752.198         764.02           44.0449          0.0             3               2
     728.411         764.02           44.0095          0.0             3               2
     680.565         764.02           43.9413          0.0             3               2
     641.952         764.02           43.8804          0.0             3               2
     603.493         764.02           43.8143          0.0             3               2
     565.466         764.02           43.7411          0.0             3               2
     527.14          764.02           43.657           0.0             3               2
     489.143         764.02           43.5646          0.0             3               2
     450.799         764.02           43.4609          0.0             3               2
     412.671         764.02           43.3424          0.0             3               2
     374.735         764.02           43.2066          0.0             3               2
     336.636         764.02           43.0497          0.0             3               2
     298.707         764.02           42.8674          0.0             3               2
     260.713         764.02           42.6501          0.0             3               2
     222.893         764.02           42.3843          0.0             3               2
     185.435         764.02           42.0505          0.0             3               2
     148.349         764.02           41.6145          0.0             3               2
     130.155         764.02           41.3288          0.0             3               2
     112.276         764.02           40.9783          0.0             3               2
      95.2045        764.02           40.5093          0.0             3               2
      76.383         764.02           39.4669          0.0             3               2
      59.8313        764.02           34.5613          0.0             3               2
      40.1433        764.02           30.1895          0.0             3               2
      21.5813        764.02           26.5159          0.0             3               2
      10.6046        764.02           22.3871          0.0             3               2
