                       Quantachrome NovaWin - Data Acquisition and Reduction
                                        for NOVA instruments
                                ©1994-2013, Quantachrome Instruments
                                           version 11.03

Analysis                                          Report
Operator:      TU DD          Date:2020/07/01     Operator: TU DD               Date:2021/02/18
Sample ID:     RE-22               Filename:      RE-22.qps
Sample Desc:                       Comment:
Sample weight: 0.032 g             Sample Volume: 1 cc
Outgas Time:   20.0 hrs            OutgasTemp:    120.0 C
Analysis gas:  Nitrogen            Bath Temp:     273.0 K
Press. Tolerance:0.100/0.100 (ads/des)Equil time: 120/120 sec (ads/des)Equil timeout:240/240 sec (ads/des)
Analysis Time: 748.4 min           End of run:    2020/07/01 4:16:54  Instrument:    Nova Station C
Cell ID:       0

              P/Po                             Po                         Volume @ STP

                                              Torr                             cc

               0.006464                      760.00                            0.8940
               0.03994                       760.00                            1.0232
               0.073323                      760.00                            1.0615
               0.10695                       760.00                            1.0899
               0.142328                      760.00                            1.1179
               0.173302                      760.00                            1.1727
               0.201959                      760.00                            3.9471
               0.231882                      760.00                            7.5500
               0.26771                       760.00                           10.4928
               0.298048                      760.00                           12.7371
               0.33196                       760.00                           14.3599
               0.365594                      760.00                           15.6114
               0.395216                      760.00                           16.5323
               0.427613                      760.00                           17.1639
               0.459902                      760.00                           17.6648
               0.493779                      760.00                           18.1714
               0.527699                      760.00                           18.6581
               0.557171                      760.00                           19.0573
               0.589832                      760.00                           19.3972
               0.621442                      760.00                           19.7190
               0.653582                      760.00                           19.9447
               0.687716                      760.00                           20.1602
               0.718303                      760.00                           20.3482
               0.751737                      760.00                           20.5292
               0.784534                      760.00                           20.6792
               0.815493                      760.00                           20.8178
               0.848176                      760.00                           20.9353
               0.880344                      760.00                           21.0447
               0.915765                      760.00                           21.1833
               0.947697                      760.00                           21.3178
               0.904032                      760.00                           21.2713
               0.855869                      760.00                           21.2140
               0.808865                      760.00                           21.1741
               0.763406                      760.00                           21.1260
               0.715164                      760.00                           21.0744
               0.670284                      760.00                           21.0262
               0.610431                      760.00                           20.9535
               0.57501                       760.00                           20.9104
               0.526612                      760.00                           20.8474
               0.479987                      760.00                           20.7761
               0.431924                      760.00                           20.6901
               0.383833                      760.00                           20.6010
               0.326791                      760.00                           20.4833
               0.287902                      760.00                           20.3877
               0.243908                      760.00                           20.2636
               0.186207                      760.00                           20.0516
               0.149385                      760.00                           19.8707
               0.093057                      760.00                           19.4641
               0.050744                      760.00                           18.8988
