                        Quantachrome® ASiQwin™- Automated Gas Sorption Data
                                     Acquisition and Reduction
                               © 1994-2012, Quantachrome Instruments
                                            version 3.0

Analysis                                          Report
Operator:      Uli            Date:11/30/2012 18:59Operator:ir                  Date:2020/05/06
Sample ID:     US_540_DUT75_N2     Filename:      US_540_DUT75_N2.raw
Sample Desc:   US_540_DUT75_N2     Comment:
Outgas Time:   17.5 hrs            Outgas Temp:   150.0 °C            Sample Weight: 0.0539 g
Analysis gas:  Nitrogen            Molec. Wt:     28.0134 g           Non-ideality:  6.58e-05 1/Torr
Analysis Time: n/a                 Instrument:    Autosorb Station 1  Bath temp.:    77.3 K

      Press            P0         Volume @ STP        Time             Tol             Equ

      Torr            Torr             cc              min

       0.375289      754.27           13.3323          0.0             3               3
       0.56417       754.27           14.953           0.0             3               3
       0.753489      754.27           16.7077          0.0             3               3
       1.50871       754.27           21.4328          0.0             3               2
       2.28019       754.27           23.9026          0.0             3               2
       3.02256       754.27           25.6583          0.0             3               2
       3.77764       754.27           27.0452          0.0             3               2
       4.53021       754.27           28.0136          0.0             3               2
       5.31581       754.27           29.3199          0.0             3               2
       6.08451       754.27           30.1298          0.0             3               2
       6.81558       754.27           31.3318          0.0             3               2
       7.58728       754.27           32.0792          0.0             3               2
       7.74643       754.27           32.2523          0.0             3               2
      10.3938        754.27           34.634           0.0             3               2
      12.3077        754.27           36.2147          0.0             3               2
      16.2692        754.27           38.374           0.0             3               2
      19.176         754.27           39.6058          0.0             3               2
      22.8474        754.27           40.9357          0.0             3               2
      25.0102        754.27           41.6351          0.0             3               2
      27.4237        754.27           42.3554          0.0             3               2
      30.0496        754.27           43.0841          0.0             3               2
      32.8293        754.27           43.8137          0.0             3               2
      35.7925        754.27           44.5322          0.0             3               2
      38.874         754.27           45.2326          0.0             3               2
      42.0615        754.27           45.9084          0.0             3               2
      45.3251        754.27           46.5556          0.0             3               2
      48.5875        754.27           47.1776          0.0             3               2
      50.5774        754.27           47.8319          0.0             3               2
      53.7093        754.27           48.4804          0.0             3               2
      56.7908        754.27           49.1154          0.0             3               2
      59.5938        754.27           49.753           0.0             3               2
      62.0818        754.27           50.412           0.0             3               2
      64.2668        754.27           51.112           0.0             3               2
      67.4915        754.27           52.3993          0.0             3               2
      70.1362        754.27           53.6766          0.0             3               2
      72.7492        754.27           54.9387          0.0             3               2
      76.3336        754.27           56.2619          0.0             3               2
      78.9321        754.27           56.8968          0.0             3               2
      83.0338        754.27           57.5094          0.0             3               2
      88.1319        754.27           57.9406          0.0             3               2
      93.4789        754.27           58.2279          0.0             3               2
      98.0762        754.27           58.4177          0.0             3               2
     101.866         754.27           58.5509          0.0             3               2
     105.206         754.27           58.6563          0.0             3               2
     108.311         754.27           58.7441          0.0             3               2
     111.274         754.27           58.8257          0.0             3               2
     114.224         754.27           58.9013          0.0             3               2
     117.099         754.27           58.9732          0.0             3               2
     119.998         754.27           59.041           0.0             3               2
     122.939         754.27           59.1055          0.0             3               2
     125.775         754.27           59.1674          0.0             3               2
     128.648         754.27           59.2255          0.0             3               2
     131.505         754.27           59.2821          0.0             3               2
     134.369         754.27           59.3362          0.0             3               2
     137.249         754.27           59.3903          0.0             3               2
     140.106         754.27           59.4411          0.0             3               2
     142.969         754.27           59.4899          0.0             3               2
     143.922         754.27           59.6274          0.0             3               2
     148.001         754.27           59.7118          0.0             3               2
     151.255         754.27           59.7715          0.0             3               2
     154.26          754.27           59.8213          0.0             3               2
