                        Quantachrome® ASiQwin™- Automated Gas Sorption Data
                                     Acquisition and Reduction
                               © 1994-2012, Quantachrome Instruments
                                            version 3.0

Analysis                                          Report
Operator:      QC             Date:2016/10/07     Operator: ir                  Date:2020/05/06
Sample ID:     ih_DUT-60_183b      Filename:      ih_DUT-60_183b.qps
Sample Desc:                       Comment:       ih_DUT-60_183b
Sample Weight: 0.0081 g            Instrument:    Autosorb iQ Station 1
Approx. Outgas Time:12.0 hrs       Final Outgas Temp.:30 °C           Extended info: Available
Analysis gas:  Nitrogen            Non-ideality:  6.58e-05 1/Torr     CellType:      9mm w/o rod
Analysis Time: 19:41 hr:min        Bath temp.:    77.35 K
Analysis Mode: Standard                                               VoidVol Remeasure:off
VoidVol. Mode: He Measure          Cold Zone V:   8.08555 cc          Warm Zone V:   14.5904 cc

      Press            P0         Volume @ STP        Time             Tol             Equ

      Torr            Torr             cc              min

       0.00909472    767.12            0.0521998      24.4             2               3
       0.00966483    767.14            0.0558248      29.7             2               3
       0.0102547     767.24            0.0594411      34.8             2               3
       0.0158041     767.24            0.085551       46.6             2               3
       0.0165347     767.24            0.0889997      51.9             2               3
       0.0230801     767.24            0.115298       62.6             2               3
       0.0303859     767.24            0.140978       73.6             2               3
       0.0381392     767.24            0.165119       84.4             2               3
       0.0469679     767.24            0.189483       95.6             2               3
       0.0562782     767.24            0.212035      106.5             2               3
       0.0601997     767.24            0.221         115.0             2               3
       0.0706719     767.24            0.242142      125.2             2               3
       0.0816124     767.24            0.261749      136.9             2               3
       0.0941736     767.24            0.28248       148.1             2               3
       0.119137      767.24            0.315602      160.0             2               3
       0.158206      767.03            0.356349      175.3             2               3
       0.178274      767.24            0.373864      186.8             2               3
       0.233424      767.01            0.411773      200.2             2               3
       0.308864      766.88            0.452678      212.9             2               3
       0.392869      765.46            0.488126      225.8             2               3
       0.487226      765.00            0.52105       237.4             2               3
       0.552043      764.81            0.540424      248.2             2               3
