file_version,3.0
pressure_mode,absolute
pressure_unit,bar
material_basis,mass
material_unit,g
loading_basis,molar
loading_unit,mmol
temperature_unit,K
adsorbate,carbon dioxide
material,HKUST-1(Cu)
temperature,303.0
material_batch,Test
iso_type,Calorimetrie
user,ADW
machine,CV
date,21/05/2010 00:00
activation_temperature,150.0
lab,MADIREL
data:[pressure,loading,branch,(otherdata)]
loading(mmol),pressure(bar),Enthalpy(kJ/mol),branch
0.76232824,0.15583871,28.78796861,ads
1.533349,0.32593871,28.76093926,ads
2.49757266,0.55443871,28.74997675,ads
3.47012103,0.80723871,28.84816971,ads
4.25550607,1.03393871,28.9629352,ads
4.9353678,1.25153871,28.84886891,ads
5.71257321,1.53033871,28.73635632,ads
6.39700776,1.80973871,28.576631,ads
6.97389988,2.07673871,28.53665033,ads
9.12173999,3.45743871,28.97004271,ads
10.79642986,5.36133871,29.79115405,ads
11.52643908,6.74743871,31.49262629,ads
12.35645149,9.17463871,32.9810364,ads
12.65729851,10.66093871,39.65529515,ads
12.93102448,12.10943871,35.16558133,ads
13.47156886,15.14163871,30.48729043,ads
13.77872616,16.87383871,25.01114929,ads
14.05902229,18.41893871,22.06228883,ads
14.38641205,20.18763871,20.18575189,ads
15.00311515,24.67963871,20.18575189,ads
14.93801375,22.19723871,20.18575189,des
14.71363696,18.27153871,20.18575189,des
14.40434831,14.97453871,20.18575189,des
14.023377,12.23553871,20.18575189,des
13.40395204,9.30943871,20.18575189,des
12.53110858,6.72593871,20.18575189,des
11.19929331,4.49893871,20.18575189,des
