pressure_mode,relative
pressure_unit,
material_basis,mass
material_unit,g
loading_basis,molar
loading_unit,mmol
temperature_unit,K
adsorbate,nitrogen
material,Cabot BP280 carbon black
temperature,77.355
reference,10.1006/jcis.1997.5009
monolayer uptake [mmol/g],0.4109
BET area [m2/g],40.0835
file_version,3.0
data:[pressure,loading,branch,(otherdata)]
pressure,loading,branch
1.03E-06,0.0091875,ads
1.97E-06,0.01378125,ads
3.29E-06,0.018375,ads
5.04E-06,0.02296875,ads
7.25E-06,0.0275625,ads
9.90E-06,0.0328125,ads
1.30E-05,0.03740625,ads
1.68E-05,0.042,ads
2.10E-05,0.04659375,ads
2.57E-05,0.0511875,ads
3.10E-05,0.05578125,ads
3.69E-05,0.060375,ads
4.33E-05,0.06496875,ads
5.05E-05,0.0695625,ads
5.82E-05,0.07415625,ads
6.66E-05,0.07875,ads
7.57E-05,0.08334375,ads
8.55E-05,0.0879375,ads
9.60E-05,0.09253125,ads
1.07E-04,0.097125,ads
1.20E-04,0.10171875,ads
1.48E-04,0.11090625,ads
1.78E-04,0.12009375,ads
2.14E-04,0.128625,ads
2.54E-04,0.1378125,ads
3.00E-04,0.147,ads
3.54E-04,0.1561875,ads
4.16E-04,0.16471875,ads
4.88E-04,0.17390625,ads
5.71E-04,0.1824375,ads
6.69E-04,0.19096875,ads
7.83E-04,0.1995,ads
9.16E-04,0.2086875,ads
1.07E-03,0.2165625,ads
1.26E-03,0.22509375,ads
1.48E-03,0.233625,ads
1.73E-03,0.2415,ads
2.05E-03,0.249375,ads
2.42E-03,0.25790625,ads
2.86E-03,0.26578125,ads
3.38E-03,0.27365625,ads
3.98E-03,0.280875,ads
4.67E-03,0.28809375,ads
5.44E-03,0.29465625,ads
6.30E-03,0.3005625,ads
7.28E-03,0.307125,ads
8.28E-03,0.312375,ads
9.36E-03,0.317625,ads
1.05E-02,0.322875,ads
1.17E-02,0.32746875,ads
1.29E-02,0.33140625,ads
1.43E-02,0.336,ads
1.56E-02,0.3399375,ads
1.77E-02,0.3451875,ads
2.00E-02,0.3504375,ads
2.49E-02,0.359625,ads
3.03E-02,0.36815625,ads
3.49E-02,0.37471875,ads
4.01E-02,0.38128125,ads
4.51E-02,0.38653125,ads
4.98E-02,0.39178125,ads
5.99E-02,0.401625,ads
6.94E-02,0.4095,ads
8.01E-02,0.4186875,ads
9.02E-02,0.4265625,ads
0.1,0.43378125,ads
0.12,0.4475625,ads
0.14,0.46134375,ads
0.16,0.475125,ads
0.18,0.4895625,ads
0.2,0.50334375,ads
0.225,0.52171875,ads
0.25,0.54009375,ads
0.276,0.55978125,ads
0.301,0.57946875,ads
0.326,0.59915625,ads
0.352,0.6181875,ads
0.375,0.6365625,ads
0.4,0.65625,ads
0.425,0.6759375,ads
0.45,0.695625,ads
0.475,0.71596875,ads
0.5,0.7363125,ads
0.525,0.75665625,ads
0.55,0.77765625,ads
0.575,0.79996875,ads
0.6,0.82359375,ads
0.625,0.847875,ads
0.649,0.874125,ads
0.675,0.903,ads
0.7,0.93384375,ads
0.725,0.968625,ads
0.749,1.0066875,ads
0.774,1.04934375,ads
0.799,1.099875,ads
0.819,1.14646875,ads
0.839,1.20028125,ads
0.858,1.262625,ads
0.878,1.34071875,ads
0.899,1.451625,ads
0.918,1.5920625,ads
0.937,1.79353125,ads
0.947,1.960875,ads
0.955,2.144625,ads
