pressure_mode,relative
pressure_unit,
material_basis,mass
material_unit,g
loading_basis,molar
loading_unit,mmol
temperature_unit,K
adsorbate,nitrogen
material,LiChrospher Si-1000 SiO2
temperature,77.355
reference,10.1021/la990136e
monolayer uptake [mmol/g],0.2677
BET area [m2/g],26.116
file_version,3.0
data:[pressure,loading,branch,(otherdata)]
pressure,loading,branch
5.55E-07,0.004885714,ads
1.23E-06,0.009364286,ads
2.38E-06,0.013842857,ads
4.18E-06,0.018728571,ads
6.74E-06,0.023207143,ads
1.02E-05,0.027685714,ads
1.49E-05,0.032571429,ads
2.10E-05,0.03705,ads
2.89E-05,0.041528571,ads
3.89E-05,0.046414286,ads
5.14E-05,0.050892857,ads
6.69E-05,0.055371429,ads
8.64E-05,0.05985,ads
1.11E-04,0.064735714,ads
1.40E-04,0.069214286,ads
1.78E-04,0.073692857,ads
2.22E-04,0.078171429,ads
2.74E-04,0.08265,ads
3.37E-04,0.087128571,ads
4.12E-04,0.091607143,ads
4.99E-04,0.095678571,ads
6.02E-04,0.100157143,ads
7.20E-04,0.104228571,ads
8.55E-04,0.1083,ads
1.01E-03,0.111964286,ads
1.18E-03,0.115628571,ads
1.38E-03,0.1197,ads
1.59E-03,0.122957143,ads
1.82E-03,0.126621429,ads
2.08E-03,0.129878571,ads
2.36E-03,0.133135714,ads
2.66E-03,0.136392857,ads
3.02E-03,0.140057143,ads
3.41E-03,0.143314286,ads
3.82E-03,0.146571429,ads
4.27E-03,0.149421429,ads
4.74E-03,0.152271429,ads
5.23E-03,0.155528571,ads
5.75E-03,0.157971429,ads
6.29E-03,0.160821429,ads
7.09E-03,0.164485714,ads
7.63E-03,0.166928571,ads
8.40E-03,0.170185714,ads
9.20E-03,0.173035714,ads
0.01,0.175885714,ads
0.0113,0.17955,ads
0.0125,0.183214286,ads
0.015,0.189321429,ads
0.0175,0.195021429,ads
0.02,0.1995,ads
0.025,0.207642857,ads
0.03,0.214971429,ads
0.035,0.221485714,ads
0.04,0.227185714,ads
0.05,0.237364286,ads
0.06,0.246321429,ads
0.07,0.254057143,ads
0.08,0.261385714,ads
0.09,0.2679,ads
0.1,0.274007143,ads
0.12,0.285407143,ads
0.14,0.295585714,ads
0.16,0.305764286,ads
0.18,0.315128571,ads
0.2,0.323678571,ads
0.225,0.334671429,ads
0.25,0.345257143,ads
0.275,0.355435714,ads
0.3,0.365614286,ads
0.325,0.3762,ads
0.35,0.386378571,ads
0.375,0.396557143,ads
0.4,0.407142857,ads
0.425,0.417728571,ads
0.45,0.428721429,ads
0.475,0.440121429,ads
0.5,0.451521429,ads
0.55,0.476357143,ads
0.575,0.488978571,ads
0.6,0.502007143,ads
0.625,0.516257143,ads
0.65,0.531321429,ads
0.675,0.5472,ads
0.7,0.563892857,ads
0.725,0.582214286,ads
0.75,0.601757143,ads
0.775,0.623335714,ads
0.8,0.647357143,ads
0.82,0.668528571,ads
0.84,0.692142857,ads
0.86,0.718607143,ads
0.88,0.748735714,ads
0.9,0.78375,ads
0.91,0.8037,ads
0.92,0.8265,ads
0.93,0.850521429,ads
0.94,0.88065,ads
0.95,0.914442857,ads
0.96,0.948642857,ads
0.97,1.023964286,ads
0.98,1.14,ads
0.988,1.286571429,ads
